ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ตรามังกร น้ำกระเทียม 220ก,7,3.5,เครื่องปรุงต่างๆ,50,1.79877E+12
ไจแอนท์ รสนม,5,4,ขนมและไอสครีม,20,8.85016E+12
ฟาร์มเฮ้าส์ โฮลวีก ใส้ปูอัดมายองเนส 55ก.,10,9,ขนมและไอสครีม,120,8.85012E+12
เจเล่ไลท์เฟรช์ชี่รสสตรอเบอร์รี่ 125กรัม,25,20,เครื่องดื่ม,48,8.85016E+12
ไบกอน กลิ่นลาเวนเดอร์ 600มล.,95,85,กำจัดแมลง,12,8.85018E+12
เภสัช คามิลล่า 100กรัม,20,18,แป้ง,40,8.85023E+12
สวีทตี้พิ้งค์35มล,19,15,เครื่องสำอาง,20,8.85023E+12
ยำยำล๊อบสเตอร์80ก,55,49,อาหารสำเร็จรูป,20,8.85025E+12
เลย์ สเเตคส์ 14g,5,4,ขนม+ไอสครีม,120,8.85072E+12
โดโซะ รสกลมกล่อม,20,16,ขนม+ไอสครีม,98,8.851E+12
โซฟี มูฟ,16,14,น้ำยาปรับผ้านุ่ม,20,8.85111E+12
คอนเน่รสเข้มข้น,20,15,ขนม+ไอสครีม,5,8.85173E+12
ก้านสำลี100ก้าน,10,8,ของใช้ส่วนตัว,50,8.85212E+12
กระเทียม,10,8,ผัก,0,1
กวางตุ้ง,10,8,ผัก,0,2
กวางตุ้งดอก,10,8,ผัก,0,3
กะปิกระปุกใหญ่ ฝาแดง,65,52,ผัก,2,4
กะเพรา,5,4,ผัก,0,5
มอคโคน่า เอสเปรสโซ่3in1 สีเขียว,20,16,กาแฟ,6,110
ยาเส้นเรือบิน 20ห่อ,100,81,บุหรี่+ยาเส้น,118,2092080102
MR หลอดะเกียบ 32w,59,35,หลอดไฟ,120,4332
ชวนป๋วยปี่แปกอ 75cc.,70,0,ยา,39,81364361709
ราคา1บาท,1,0.5,ราคาสิินค้า,927,1
ราคา 10บาท,10,8,ราคาสิินค้า,-358,10
ราคา100บาท,100,95,ราคาสิินค้า,-33,100
ราคา101บาท,101,95,ราคาสิินค้า,200,101
หวี,15,10,ของใช้ส่วนตัว,10,1.01315E+12
หวีแฟชั้น,20,13,ของใช้ส่วนตัว,50,1.01315E+12
หวีแฟชั้น,10,7,ของใช้ส่วนตัว,10,1.01315E+12
หวีแฟชั่น,20,15,ของใช้ส่วนตัว,0,1.01315E+12
ราคา102บาท,102,95,ราคาสิินค้า,199,102
ราคา103บาท,103,95,ราคาสิินค้า,198,103
ราคา104บาท,104,95,ราคาสิินค้า,199,104
ราคา105บาท,105,59,ราคาสิินค้า,194,105
ราคา106บาท,105,95,ราคาสิินค้า,199,106
ราคา107บาท,107,95,ราคาสิินค้า,200,107
ราคา108บาท,108,95,ราคาสิินค้า,200,108
ราคา109บาท,109,95,ราคาสิินค้า,198,109
ราคา 11บาท,11,8,ราคาสิินค้า,992,11
ราคา110บาท,110,100,ราคาสิินค้า,87,110
หอยดอง เเม่สอิ้ง,20,14,อาหารสำเร็จรูป,120,1.1016E+12
หมูเด้ง เจ๊รดา 500กรัม,25,20,อาหารสำเร็จรูป,118,1.1016E+12
น้ำตาลทรายขาว 1กก.,30,27,ราคาสิินค้า,117,1.1016E+12
พรพรรน 3 ไก่มะระ ก๋วยจั๊บ,12,8,ราคาสิินค้า,119,1.1016E+12
SnapLock กล่องเก็บอาหาร No.307,15,9,พลาสติก,120,1.1016E+12
ขิงดองตรามังกร,10,8,เครื่องปรุงอาหาร,40,1.10164E+11
มะนาวดองตรามังกร,10,8,เครื่องปรุงอาหาร,39,1.10164E+11
ปลาทูหอม ,35,27,อาหารสำเร็จรูป,120,1.1023E+12
ราคา111บาท,111,100,ราคาสิินค้า,200,111
ยางลบ,5,4,ราคาสิินค้า,100,11111
ราคา112บาท,112,100,ราคาสิินค้า,199,112
ราคา113บาท,113,105,ราคาสิินค้า,200,113
ราคา114บาท,114,110,ราคาสิินค้า,199,114
ราคา115บาท,115,110,ราคาสิินค้า,199,115
ราคา116บาท,116,110,ราคาสิินค้า,200,116
ราคา117บาท,117,110,ราคาสิินค้า,199,117
ราคา118บาท,118,115,ราคาสิินค้า,200,118
ราคา119บาท,119,115,ราคาสิินค้า,196,119
ราคา 12บาท,12,8,ราคาสิินค้า,857,12
ราคา120บาท,120,115,ราคาสิินค้า,179,120
ราคา121บาท,121,105,ราคาสิินค้า,200,121
ราคา122บาท,122,115,ราคาสิินค้า,200,122
ราคา123บาท,123,115,ราคาสิินค้า,200,123
BB Book สมุดฉีกมีเส้น คละลาย ,15,10,อุปกรณ์สำนักงาน,12,1.23446E+12
ราคา124บาท,124,115,ราคาสิินค้า,200,124
ราคา125บาท,125,119,ราคาสิินค้า,195,125
ราคา126บาท,126,120,ราคาสิินค้า,199,126
ราคา127บาท,127,120,ราคาสิินค้า,200,127
ราคา128บาท,128,125,ราคาสิินค้า,200,128
ราคา129บาท,129,125,ราคาสิินค้า,199,129
ราคา 13บาท,13,10,ราคาสิินค้า,865,13
ราคา130บาท,130,125,ราคาสิินค้า,192,130
ราคา131บาท,131,125,ราคาสิินค้า,199,131
ราคา132บาท,132,125,ราคาสิินค้า,200,132
ราคา133,133,125,ราคาสิินค้า,200,133
ราคา134บาท,134,130,ราคาสิินค้า,200,134
ราคา135บาท,135,125,ราคาสิินค้า,191,135
ราคา136บาท,136,125,ราคาสิินค้า,200,136
ราคา137บาท,137,130,ราคาสิินค้า,199,137
ราคา138บาท,138,130,ราคาสิินค้า,199,138
ราคา139บาท,139,135,ราคาสิินค้า,199,139
ราคา 14 บาท,14,12,ราคาสิินค้า,957,14
ราคา140บาท,140,135,ราคาสิินค้า,191,140
ราคา141,141,135,ราคาสิินค้า,200,141
