ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ยางลบ,5,4,อุปกรณ์สำนักงาน,100,11111
BB Book สมุดฉีกมีเส้น คละลาย ,15,10,อุปกรณ์สำนักงาน,12,1234464484512
กระดาษ100ปอน,5,3,อุปกรณ์สำนักงาน,100,33333
ตราเเรด ใบมีดคัตเตอร์ 10/18mm.,25,15,อุปกรณ์สำนักงาน,12,6891217167495
วงเวียน-คละสี,20,12,อุปกรณ์สำนักงาน,12,6941507008097
TOA กาวลาเท็กซ์ 4oz,20,14.8,อุปกรณ์สำนักงาน,20,8850106095026
Horse ปากกาเคมี ชมพู ,15,8,อุปกรณ์สำนักงาน,120,8851552201108
ยางลบ,5,4,อุปกรณ์สำนักงาน,93,8851552617008
กรรไกรต,25,20,อุปกรณ์สำนักงาน,0,8851907136901
กาะดาษ100บอน,5,4,อุปกรณ์สำนักงาน,87,8851907258436
ปากกา,5,4,อุปกรณ์สำนักงาน,100,8851907278038
กระดาษสา ห่อเหรียญ 100แผ่น,25,19,อุปกรณ์สำนักงาน,120,8854425761006
แม็ก 10mm,25,20,อุปกรณ์สำนักงาน,5,8858201011743
ฟาร์เกอร์ เเม่สีเเดง,70,62.5,อุปกรณ์สำนักงาน,120,8858875704026
Kato ปืนจุดเเก๊ส รุ่น 074,25,16,อุปกรณ์สำนักงาน,24,8859311591729
กระดาษเซลโล,15,10,อุปกรณ์สำนักงาน,10,8859515701849
PAE30-3M,129,89,อุปกรณ์สำนักงาน,0,8859800703510
PAE-9091U-3M,119,82,อุปกรณ์สำนักงาน,0,8859800703923
PAE-R45U-3M,109,79,อุปกรณ์สำนักงาน,0,8859800706764
พานาโซนิคaaa,30,25,อุปกรณ์สำนักงาน,-1,8887549620690
พานาโซนิค,30,25,อุปกรณ์สำนักงาน,0,8887549620706
