ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
BIC มีดโกน,20,16,อาหารปลา,55,3086126676074
Me-o แซลมอน400ก,55,46,อาหารปลา,4,8850477001725
Me-o ปลาทะเล400ก,55,46,อาหารปลา,3,8850477055506
MeO อาหารแมว400ก,55,46,อาหารปลา,4,8850477552500
ATK ก้อนดับกลิ่น,25,20,อาหารปลา,55,8850535010812
ซากุระ,30,15,อาหารปลา,17,8850805000024
Ole kat อาหารแมว1กก,50,42,อาหารปลา,5,8859306620014
ซิวซิวแคท,55,46,อาหารปลา,3,8859306620021
โอเล-แคท 1กก,50,44,อาหารปลา,3,8859306620038
อาหารแมว,55,50,อาหารปลา,3,8859503100159
ปุ้ยบัว,25,20,อาหารปลา,50,8859990316989
ปุ๋ยบัว,25,20,อาหารปลา,50,8859990328722
