ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ยำยำล๊อบสเตอร์80ก,55,49,อาหารสำเร็จรูป,20,8850250011972
หอยดอง เเม่สอิ้ง,20,14,อาหารสำเร็จรูป,120,1101600070000
หมูเด้ง เจ๊รดา 500กรัม,25,20,อาหารสำเร็จรูป,118,1101600070178
พรพรรน 3 ไก่มะระ ก๋วยจั๊บ,12,8,อาหารสำเร็จรูป,119,1101600280669
ปลาทูหอม ,35,27,อาหารสำเร็จรูป,120,1102300000267
กุนเชียง เจ้ดาว 495 กรัม,75,67,อาหารสำเร็จรูป,6,2000010010495
เจ๊เกว กุนเชียง 495กรัม,70,64,อาหารสำเร็จรูป,119,2000010020495
กระเทียมเจียว,10,8,อาหารสำเร็จรูป,50,73071601
มะเขือเทศ,10,7,อาหารสำเร็จรูป,5,7820005008756
มะเขือพวง,15,11.5,อาหารสำเร็จรูป,3,7820044011502
มะระ ขี้นก,10,7,อาหารสำเร็จรูป,2,7820047004754
ปลาสัว-งา,25,19,อาหารสำเร็จรูป,12,7840011024007
ปลาสั่ว-งา 0.152กก.,35,28,อาหารสำเร็จรูป,120,7840011029644
ปลาลิ้นหมา(เเห้ง),25,19,อาหารสำเร็จรูป,120,7840013021004
ปลาลิ้นหมา (เเห้ง),25,19,อาหารสำเร็จรูป,12,7840013021509
ปลาลิ้นหมา(เเห้ง),25,19,อาหารสำเร็จรูป,12,7840013021752
หมูยอแผ่น สูตรพริกไทยดำ,40,35,อาหารสำเร็จรูป,102,79060013
ผักชีฝรัง,10,7,อาหารสำเร็จรูป,3,79080309
พริกจินดา,10,7,อาหารสำเร็จรูป,5,79080336
ขนมจีน แม่ลิ้นจี่ 1/2ก.,15,13,อาหารสำเร็จรูป,120,79080351
เห็ดรวม 1 เเพค,25,20,อาหารสำเร็จรูป,120,79080371
ปลาทูหอม-เเพ็ค,35,30,อาหารสำเร็จรูป,120,79080678
กะเพาะไก่ 150กรัม,65,50,อาหารสำเร็จรูป,3,79270127
ขาหมูเลาะ ,50,45,อาหารสำเร็จรูป,10,79271192
หมูสไลด์,100,80,อาหารสำเร็จรูป,12,79271238
ซัมยัง บลูดัก ราเมง สูตรเผ็ด 145ก.,45,32,อาหารสำเร็จรูป,117,8801073110502
Samyang Buldak ซีส 130g. ,45,32,อาหารสำเร็จรูป,12,8801073113312
ซัมยัง บลูดัก ราเมง สูตรเผ็ดมาก 145ก.,45,36,อาหารสำเร็จรูป,10,8801073113428
Samyang Buldak คาโบนาล่า 130g. ,45,32,อาหารสำเร็จรูป,11,8801073113893
ซัมยัง บลูดัก รสชีส 4 ชนิด 145ก.,45,36,อาหารสำเร็จรูป,120,8801073115088
เฟรนฟราย 200g.,20,18,อาหารสำเร็จรูป,28,8827445569720
ผักกาดดองเค็ม140ก,20,16,อาหารสำเร็จรูป,20,8850035000115
 ปลาทอดราดพริกทีซีบี,25,20,อาหารสำเร็จรูป,40,8850081410050
ทีซีบีราดพริก85ก,20,15,อาหารสำเร็จรูป,100,8850081410067
ปุ้มปุ้ยหอยลายขี้เมา,25,20,อาหารสำเร็จรูป,20,8850088100909
ปุ้มปุ้ย ลาบปลา 80ก.,29,24,อาหารสำเร็จรูป,6,8850088150249
ปุ้มปุ้ยหอยลาย40ก,25,20,อาหารสำเร็จรูป,99,8850088605435
ปุ้มปุ่ยหอยแครง,25,20,อาหารสำเร็จรูป,20,8850088606807
ไวไวปรุงรส,55,45,อาหารสำเร็จรูป,20,8850100005311
ไวไวหมูสับ,55,45,อาหารสำเร็จรูป,20,8850100005328
คลิกรสกุ้งนึ่งมะนาว,13,10,อาหารสำเร็จรูป,20,8850100006011
นูดดี้ บะหมี่ก้อน 945กรัม,55,49,อาหารสำเร็จรูป,12,8850100007513
ไวไว รสดั้งเดิม 70ก.,25,19,อาหารสำเร็จรูป,200,8850100007612
ไวไวซองรสเข้มข้น,7,5.7,อาหารสำเร็จรูป,-61,8850100101013
ไวไว รสหมูสับ 60กรัม,7,6,อาหารสำเร็จรูป,120,8850100101044
ไวไวเห็ดหอม,6,3,อาหารสำเร็จรูป,10,8850100101099
ควิส ต้มยำมันกุ้ง,7,5,อาหารสำเร็จรูป,120,8850100101143
คลิกรสต้มยำกุ้ง,13,10,อาหารสำเร็จรูป,20,8850100107060
ไวไว บะหมี่สำเร็จรูป,180,173,อาหารสำเร็จรูป,10,8850100110114
ไวไวซองรสเป็ดพะโล้,6,4,อาหารสำเร็จรูป,20,8850100111500
ไวไวซองรสต้มยำเจ,6,4,อาหารสำเร็จรูป,20,8850100119018
ควิก รสต้มโคล้ง 60ก.,7,4,อาหารสำเร็จรูป,4,8850100121011
ไวไวซองรสหมูสับต้มยำ,7,4,อาหารสำเร็จรูป,9,8850100126016
ไวไวหมูสับต้มยำ,55,45,อาหารสำเร็จรูป,20,8850100126207
ไวไวซองรสหอยหลายผัดฉ่า,7,5.7,อาหารสำเร็จรูป,-5,8850100127013
คลิกรสหมูสับต้มยำ,13,10,อาหารสำเร็จรูป,20,8850100128362
ไวไวซองรสเส้นหมี่ปรุงรส,7,4,อาหารสำเร็จรูป,16,8850100205032
ไวไวซองรสเส้นหมี่หมูสับ,7,4,อาหารสำเร็จรูป,11,8850100205049
หมี่ไวไว180ก,15,11,อาหารสำเร็จรูป,103,8850100206039
วุ้นเส้นมังกรคู่500ก,67,61.5,อาหารสำเร็จรูป,98,8850122101039
วุ้นเส้นมังกรคู่80กรัม,15,12,อาหารสำเร็จรูป,5,8850122101053
วุ้นเส้นกิเลนคู่ ,13,10,อาหารสำเร็จรูป,100,8850122103057
วุ้นเส้นกิเลนคู่80กรัม,13,10,อาหารสำเร็จรูป,20,8850122103057+
เส้นก๋วยเตี๋ยวกิเลนคู่,13,10,อาหารสำเร็จรูป,0,8850122503109
เส้นหมี่อบแห้งกิเลนคู่,13,10,อาหารสำเร็จรูป,50,8850122703103
วุ้นเส้นมังกร80ก,13,10,อาหารสำเร็จรูป,100,8850122800109
คัพโจีกรสไก่,19,17,อาหารสำเร็จรูป,0,8850144207870
คนอร์ คัพโจ๊ก รสหมู 32กรัม ,19,17,อาหารสำเร็จรูป,3,8850144207894
คนอร์ คัพโจ๊ก กุ้งปูอัด 32g.,19,14,อาหารสำเร็จรูป,2,8850144208792
คนอร์ คัพโจ๊ก หมูสาหร่าย,18,15,อาหารสำเร็จรูป,199,8850144213949
คนอร์คัพโจ๊ก35ก,12,10,อาหารสำเร็จรูป,6,8850144213963
คนอร์ คัพโจ๊ก รสหมู 28 กรัม,10,8,อาหารสำเร็จรูป,12,8850144214113
คนอร์ คัพโจ๊ก รสไก่ 28 กรัม,10,8,อาหารสำเร็จรูป,10,8850144214120
คัพโจ๊ก รสไข่ฟู-หมู,12,7,อาหารสำเร็จรูป,10,8850144219712
สามเเม่ครัว ฉู่ฉี่ปลาซาร์ดีน 190กรัม,25,18,อาหารสำเร็จรูป,120,8850153333003
สามเเม่ครัว มัสมั่นปลาซาร์ดีน 190กรัม ,25,18,อาหารสำเร็จรูป,120,8850153888046
นอติลุสทูน่าสเต็กในน้ำมันถั่วเหลือง 170กรัม,45,36,อาหารสำเร็จรูป,3,8850229100010
นอติลุส185ก,40,35,อาหารสำเร็จรูป,50,8850229100027
นอติลุสทูน่าชนิดก้อนในน้ำแร่ 170กรัม,45,41,อาหารสำเร็จรูป,120,8850229100102
นอติลุส185ก,35,29,อาหารสำเร็จรูป,99,8850229101970
นอติลุส125ก,40,35,อาหารสำเร็จรูป,50,8850229102014
นอติลุสทูน่าในน้ำมันรสเผ็ด 165กรัม,45,41,อาหารสำเร็จรูป,1200,8850229103714
ยำยำหมูสับ,55,45,อาหารสำเร็จรูป,20,8850250000150
ยำยำซองรสหมูสับ,7,5.5,อาหารสำเร็จรูป,-8,8850250000730
ยำยำซองรสผัดขี้เมาแห้ง,7,5.5,อาหารสำเร็จรูป,25,8850250000761
ยำยำ รสสุกี้ 55ก.,7,4,อาหารสำเร็จรูป,198,8850250002079
มาม่าซองรสต้มยำกุ้งน้ำข้น,7,5.5,อาหารสำเร็จรูป,25,8850250002864
ยำยำซองรสต้มยำกุ้งแห้ง,7,5.5,อาหารสำเร็จรูป,21,8850250002994
ยำยำจัมโบ้รสเย็นตาโฟ 67 g,6,4,อาหารสำเร็จรูป,120,8850250004486
ยำยำจำโบ้10ซอง,55,45,อาหารสำเร็จรูป,19,8850250004943
ยำยำต้มยำกุ้ง,55,45,อาหารสำเร็จรูป,20,8850250005391
ยำยำรสต้มยำทะเล,6,3,อาหารสำเร็จรูป,5,8850250006329
ยำยำรสหมูสับ,15,12.1,อาหารสำเร็จรูป,29,8850250006756
ยำยำรสต้มยำกุ้ง,15,12.14,อาหารสำเร็จรูป,28,8850250006763
ยำยำรสต้มยำทะเลหม้อไฟ,15,12.1,อาหารสำเร็จรูป,28,8850250006770
ยำยำ คัพ หมูสับ 60ก.,75,63,อาหารสำเร็จรูป,120,8850250006787
ยำยำ คัพ ทะเลหม้อไฟ 60g.,75,63,อาหารสำเร็จรูป,120,8850250006800
ยำยำต้มยำกุ้ง60ก,15,12.1,อาหารสำเร็จรูป,12,8850250007838
ยำยำช้างน้อยมะนาว,5,3,อาหารสำเร็จรูป,0,8850250008149
ยำยำช้างน้อยต้มยำกุ้ง,3,1,อาหารสำเร็จรูป,0,8850250008156
ยำยำรสสุกี้ทะเล,15,12.1,อาหารสำเร็จรูป,17,8850250008279
ยำยำ ก๋วยเตี๋ยวเรือ 55ก.,6,4,อาหารสำเร็จรูป,2000,8850250008491
ยำยำรสต้มยำหมูเด้ง,13,10,อาหารสำเร็จรูป,20,8850250008996
ยำยำ หมึกมะนาว 60ก.,15,11,อาหารสำเร็จรูป,200,8850250009153
ยำยำ ต้มยำกุ้ง 80ก.,10,8,อาหารสำเร็จรูป,192,8850250011613
ยำยำต้มยำกุ้ง,60,50,อาหารสำเร็จรูป,20,8850250011637
ยำยำ ต้มยำกุ้งน้ำข้น 80ก.,12,9.17,อาหารสำเร็จรูป,197,8850250011774
ยำยำ สไบซี่ ล็อบสเตอร์ 75ก.,10,9.17,อาหารสำเร็จรูป,113,8850250011958
ยำยำสูตรเด็ด,60,55,อาหารสำเร็จรูป,20,8850250011972
ยำยำสูตรเด็ด,55,45,อาหารสำเร็จรูป,20,8850250012191
ยำยำ รสต้มยำกุ้งทะเลน้ำข้น 80ก.,10,6,อาหารสำเร็จรูป,117,8850250012238
ยำยำ รสปูผัดพริกไทยดำ 75ก.,10,6,อาหารสำเร็จรูป,119,8850250012405
ยำยำรสผัดฉ่า,0,0,อาหารสำเร็จรูป,0,88502500124058850250
ยำยำรสหมูสับ75ก,12,9.17,อาหารสำเร็จรูป,-2,8850250012931
ยำยำทรงเครื่อง24ซอง,228,220,อาหารสำเร็จรูป,6,8850250012948
ยำยำฉ่าทะเล75ก,12,9.17,อาหารสำเร็จรูป,22,8850250012979
ยำยำฉ่าทะเล24ซอง,228,220,อาหารสำเร็จรูป,6,8850250012986
ยำยำสูตรเด็ด75ก,12,9.2,อาหารสำเร็จรูป,27,8850250014195
ยำยำสูตรเด็ด5ซอง,52,46,อาหารสำเร็จรูป,6,8850250014218
บ้านไผ่ หมูหยองกรอบ 70กรัม,60,54,อาหารสำเร็จรูป,120,8850269020125
แป้งข้าวเหนียว 1กก.,40,35,อาหารสำเร็จรูป,100,8850341200018
น้ำพริกสวรรค์,25,20,อาหารสำเร็จรูป,50,8850384170026
น้ำพริกปลาย่าง,20,15,อาหารสำเร็จรูป,50,8850384170057
วุ้นเส้นสายฝน22กรัม,5,3.5,อาหารสำเร็จรูป,190,8850403200253
วุ้นเส้นสายฝน,13,9.75,อาหารสำเร็จรูป,14,8850403200802
FF บะหมี่ก้อน 900กรัม,55,49,อาหารสำเร็จรูป,12,8850412373702
โรซ่า 155ก.,20,15,อาหารสำเร็จรูป,176,8850511121181
โรซ่า ผักกาดดองเค็ม 111กรัม,19,13,อาหารสำเร็จรูป,0,8850511621056
โรซ่า ผักกาดดองเผ็ดหวาน 145ก.,17,12,อาหารสำเร็จรูป,4,8850511621599
โรซ่า ยำผักกาดดอง 145ก.,17,12,อาหารสำเร็จรูป,4,8850511621667
เอ.ดี. เงาะในน้ำเชื่อม 565กรัม,45,38,อาหารสำเร็จรูป,120,8850525112052
น้ำปลาตราปลาหมึก280มล.,18,15,อาหารสำเร็จรูป,15,8850620003019
เลย์ ร็อค รสมันฝรั่งเเท้ 13ก.,5,4,อาหารสำเร็จรูป,111,8850718801060
เลย์ ร๊อค กุ้งเผา+น้ำจิ้มซีฟู้ด 13ก,5,4,อาหารสำเร็จรูป,100,8850718810475
เต้าหู้ไข่ ตรานางพยาบาล,10,8,อาหารสำเร็จรูป,120,8850721013115
มาม่าซองรสหมูสับ,7,5,อาหารสำเร็จรูป,-77,8850987101014
มาม่าซองรสต้มยำกุ้ง,7,4,อาหารสำเร็จรูป,-32,8850987101021
มาม่าซองรสเย็นตาโฟ,7,4,อาหารสำเร็จรูป,18,8850987101175
มาม่าซองรสเป็ดพะโล้,7,5,อาหารสำเร็จรูป,11,8850987101182
มาม่ารสหมูส้บ,185,174,อาหารสำเร็จรูป,5,8850987101274
มาม่าต้มยำกุ้ง55ก,185,163,อาหารสำเร็จรูป,19,8850987101298
มาม่ารสเป็ดพะโล้,185,163,อาหารสำเร็จรูป,5,8850987101397
