ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ผักกาดดองเค็ม,25,19,ปลากระป๋อง,87,8850035000214
ผักกาดดองเค็ม150ก,35,27.5,ปลากระป๋อง,93,8850035000313
ผักผสมดองดค็ม,20,15,ปลากระป๋อง,49,8850035050219
ปลาแม็กเคอเรล,15,13,ปลากระป๋อง,98,8850035310221
ปลากระป๋องนกพิราบ155ก,17,13.4,ปลากระป๋อง,15,8850035808100
ปุ้มปุ้ยเข้มข้น,20,15,ปลากระป๋อง,16,8850088002890
ปุ้มปุ้ย155ก,20,15,ปลากระป๋อง,20,8850088003675
ปุ้มปุ้ยราดพริก,28,24,ปลากระป๋อง,3,8850088601406
สามแม่ครัว155ก,27,22,ปลากระป๋อง,64,8850153333096
สามแม่ครัว,28,22,ปลากระป๋อง,118,8850153533090
นอติลุสทูน่าชนิดก้อนในน้ำเกลือ 170กรัม,45,41,ปลากระป๋อง,120,8850229101123
ปลาแม็กเคอเรล,15,13,ปลากระป๋อง,179,8850229101857
นอติลุสทูน่าถั่วเหลือง165ก,35,29,ปลากระป๋อง,3,8850229101994
นอติลุส185ก,45,38,ปลากระป๋อง,100,8850229102038
มงกุฎ,15,11,ปลากระป๋อง,16,8850229102335
ชีเล็ค93มล,20,17,ปลากระป๋อง,86,8850468208058
ไฮคิว ปลาเเมคเคอเรล 155ก.,20,17,ปลากระป๋อง,55,8850511121020
โรซ้า190ก,25,20,ปลากระป๋อง,3,8850511121198
โรซ่า ปลาทอดราดพริก150ก,30,25,ปลากระป๋อง,11,8850511121259
โรซ่า,20,17.5,ปลากระป๋อง,6,8850511121266
ดีเค,14,12,ปลากระป๋อง,153,8850525235027
เอสพี ห้องเย็น 155ก,10,8,ปลากระป๋อง,12,8850557500742
บ้านเพ ปลาเกล็ด25ก,15,12,ปลากระป๋อง,12,8851602010018
ซูเปอร์ซีเชฟปลาซาร์ดีนซอสมะเขือเทศ 155กรัม,20,17.7,ปลากระป๋อง,192,8858463002046
ซีเชฟ155ก,20,15,ปลากระป๋อง,86,8858463002190
มังกรเขียว87ก,12,9,ปลากระป๋อง,82,8859268711188
TK ปลาเเมคเคอเรล 155กรัม,12,10,ปลากระป๋อง,10,8859672000823
