ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ดาว์นี่ผงซักฟอก,80,75,ผงซักผ้า,0,44902430685252
ไฮเตอร์คัลเลอร์500มล.,45,40,ผงซักผ้า,40,4710363637602
ดาวนี่68กรัม,10,8,ผงซักผ้า,30,4902430684699
ดาวนี่210กรัม,25,20,ผงซักผ้า,30,4902430685184
ดาวนี่68กรัม,10,8,ผงซักผ้า,30,4902430685191
ดาวนี่210กรัม,25,20,ผงซักผ้า,30,4902430685207
ดาวนี่800กรัม,85,80,ผงซักผ้า,30,4902430685221
ดาว์นี่ผงซักฟอก,85,80,ผงซักผ้า,100,4902430685252
ดาวน์นี่190ก,25,20,ผงซักผ้า,100,4902430741231
ดาวนี่68กรัม,10,8,ผงซักผ้า,30,4902430747059
ดาวน์นี้35มล,5,4,ผงซักผ้า,100,4902430780032
ดาวน์นี้ซักผ้า35มล,5,3,ผงซักผ้า,100,4902430780551
ดาวร์นี้960ก,55,40,ผงซักผ้า,20,4902430785105
ดาวร์นี้690ก,50,45,ผงซักผ้า,19,4902430785907
ดาวร์นี้,5,4,ผงซักผ้า,18,4902430867467
จอยมีท ป๊อป บลู 60ก.,20,16,ผงซักผ้า,2,5060491180235
เอสเซ้นซ์ สูตรลดกลิ่นอับ กลิ่นดอกไม้ 400มล.,40,34,ผงซักผ้า,50,8850002011946
ไฟท์ขจัดคราบ,35,30,ผงซักผ้า,100,8850002012073
เปาวินวอช1700กรัม,145,135,ผงซักผ้า,20,8850002017436
เปา วินวอช สูตรเข้มข้น 800กรัม,75,58,ผงซักผ้า,19,8850002017443
เปา วินวอช ซอฟท์ 800กรัม,75,0,ผงซักผ้า,0,8850002020849
3พลังแจ๋ว3500กรัม,155,129,ผงซักผ้า,7,8850002022232
3พลังแจ๋ว350กรัม,20,17,ผงซักผ้า,16,8850002022805
เปาวินซอส,50,45,ผงซักผ้า,0,8850002024816
เปาวินวอช700มล,60,55,ผงซักผ้า,50,8850002024823
เปาคัลเลอร์110ก,10,8.4,ผงซักผ้า,12,8850002028555
เปาวินวอช700มล,60,55,ผงซักผ้า,50,8850002029392
โปร2900กรัม,125,115,ผงซักผ้า,30,8850002029675
เปา วินวอช700มล,60,55,ผงซักผ้า,50,8850002032798
108Shop 3เเจ๋ว+เเจ่ม 3200กรัม,140,122,ผงซักผ้า,119,8850002032866
แจ๋ว320ก,20,18,ผงซักผ้า,49,8850002032880
เปาวินวินวอช800ก,75,70,ผงซักผ้า,100,8850002034143
เปาวินวอช800ก,75,70,ผงซักผ้า,99,8850002034150
เปาซุปเปอร์ไวท์750ก,40,33.5,ผงซักผ้า,3,8850002037908
108shop 3พลังแจ๋ว+แจ่ม 2600กรัม,110,88,ผงซักผ้า,0,8850002041165
เอสเซ้นช์ กลิ่น ดอกไม้ 225มล,35,30,ผงซักผ้า,15,8850002850033
เอสเซนช์ กลิ่น บลอสซั่ม 225มล,35,30,ผงซักผ้า,50,8850002850095
เฟรช-ซอฟ400มล,30,25,ผงซักผ้า,20,8850002852419
เอสเซ้นซ์ สูตรมาตรฐาน 500กรัม,40,35,ผงซักผ้า,17,8850002852730
เอสเซ้น1200ก,65,50,ผงซักผ้า,20,8850002853386
เอสเซ้นช์30มล,5,3,ผงซักผ้า,95,8850002854390
เอสเซ้นซ์450ก,40,35,ผงซักผ้า,20,8850002854451
เอสเซ้น1100ก,65,50,ผงซักผ้า,20,8850002854468
เอสเซน่ซักผ้า35มล,5,4,ผงซักผ้า,20,8850002854840
ไฮยีน 250มล.,20,15,ผงซักผ้า,24,8850092202040
ไฮยีนซักผ้าขาว,20,18,ผงซักผ้า,104,8850092204020
ไฮยีนผ้าสีี,20,18,ผงซักผ้า,2,8850092213060
ไฮยีน-ซักผ้าขาว+สี 500มล.,40,30,ผงซักผ้า,120,8850092213145
ไฮยีนชมพู,15,10,ผงซักผ้า,0,8850092222512
ไฮยีนฟ้า,15,10,ผงซักผ้า,99,8850092224516
ไฮยีนซักผ้า35มล,5,4,ผงซักผ้า,20,8850092253059
น้ำยาซักพ้า,50,45,ผงซักผ้า,-3,8850092253554
ไฮยีน มิลค์กี้ ทัช 600มล.,60,0,ผงซักผ้า,0,8850092254155
ไฮยีน ผลิตภัณฑ์ซักผ้าชนิดน้ำ กลิ่นซันไรส์ คิส 35มล.,5,4,ผงซักผ้า,34,8850092257057
ไฮยีน600มล,50,40,ผงซักผ้า,4,8850092257453
แวนิช,12,10,ผงซักผ้า,100,8850360031808
แวนิช30กรัม,12,10,ผงซักผ้า,20,8850360104137
สวิสส์  ครามแท้120มล,15,10,ผงซักผ้า,20,8850831030408
เบบี้มายล้างขวดนม,40,35,ผงซักผ้า,0,8851123348119
เบบี้มาย600มล,45,40,ผงซักผ้า,50,8851123742252
เบบี้มาย ซากุระ600มล,45,40,ผงซักผ้า,50,8851123742313
แวนิช ออกซี่ แอ็คชั่น 30กรัม,10,8,ผงซักผ้า,-1,8851198932107
แอทแทค,65,60,ผงซักผ้า,100,8851818028555
แอทแทคซอฟท์พลัส90กรัม,10,8,ผงซักผ้า,18,8851818036291
