ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
สบูเซฟการ์ด 85กรัม,15,12,สบู่,30,4902430251693
สบู่เซฟการ์ด,15,12,สบู่,26,4902430251730
สบู่เซฟการ์ด,15,12,สบู่,30,4902430251754
สบู่เซฟการ์ด85กรัม,15,12,สบู่,29,4902430251778
เซฟการ์ด80ก,15,13,สบู่,8,4987176082879
สบู่อาเซปโซ ป้องกลิ่นกาย,15,12,สบู่,29,7640129891610
สบู่อาเซปโซ โจโจบา,15,12,สบู่,30,7640129891771
สบู่อาเซปโซ ไฮจินิค,22,20,สบู่,18,7640142770237
สบู่อาเซฟโซ80ก,55,50,สบู่,20,7640142770244
อาเซปโซ 70ก,15,13,สบู่,100,7640142772750
อาเซปโซ 70ก,15,13,สบู่,100,7640142773948
บีไน  อาบน้ำ180มล,120,97,สบู่,20,78851989080108
ฟลอเเร่ แพค4,38,35,สบู่,20,8850002014008
สบู่ฟลอเร่80ก,10,8,สบู่,50,8850002014015
ฟลอเร่ แพค4,28,25,สบู่,20,8850002014022
ฟลอเร่ แพค4,38,35,สบู่,20,8850002014046
โฟรเทคส์ เมน65กแพค4,55,50,สบู่,20,8850006492925
โฟรเทคส์65ก แพค4,55,50,สบู่,20,8850006534304
สบู่แคร์65ก,15,13,สบู่,100,8850006593455
สบู่เหลวล้างมีอ250มล,60,45,สบู่,20,8850006604793
โปรเทค65ก,15,12,สบู่,100,8850006604984
สบู่โพรเทคส์ 130 กรัม,45,38,สบู่,20,8850006605257
โพรเทคส์อาบน้ำ450มล,150,135,สบู่,20,8850006606278
โพรเทค บลอสซัม 280ก.,65,55,สบู่,119,8850006675052
แคร์ คลาสสิค  65 กรัม,15,12,สบู่,49,8850006900192
แคร์ พิงค์,15,12,สบู่,29,8850006900284
โพรเทคส์ สดชื่น65กรัม,15,12,สบู่,30,8850006900406
สบู่โพรเทคส์  ครีม 65 กรัม,15,12,สบู่,28,8850006900659
สบู่โพรเทคส์ คูล,15,12,สบู่,47,8850006901083
โพรเทคส์ มะขาม 65ก.,15,10,สบู่,98,8850006901182
แคร์เบอรรี่,15,10,สบู่,0,8850006901366
สบู่โพรเทคส์ สปอร์ต 65กรัม,15,12,สบู่,20,8850006901410
โปรเทค65ก,15,12,สบู่,100,8850006901533
โพรเทคฟอร์เมน,15,10,สบู่,96,8850006901618
โพรเทคส์เมน อาบน้ำ450มล,150,135,สบู่,20,8850006931097
โพรเทคส์มอยช์เจอร์450มล,150,134,สบู่,20,8850006932049
โพรเทคส์ ไทย เทอราพี น้ำนมข้าว 160ก.,30,26,สบู่,119,8850006936382
สบู่โพรเทคส์ทานาคา160ก,30,25,สบู่,47,8850006936498
โพรเทคส์ทับทิม,65,55,สบู่,2,8850006947326
โพรเทคส์คูล,20,15,สบู่,11,8850006947531
โพรเทคส็บลอสซ้ม,20,15,สบู่,12,8850006947555
โพรเทคส์,20,15,สบู่,11,8850006947579
สบู่่จอห์นสัน เบบี้โซฟ 75กรัม,17,12,สบู่,30,8850007020240
สบู่จอร์นสัน บรอสซั้ม75กรัม,17,12,สบู่,30,8850007020462
