ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
หมากฝรั่งแบล็ก แบล็ก 13.5g,5,4,หมากฝรั่ง+ลูกอม,25,8852008000214
หมากฝรั่งกลิ่นเฟปเปอร์มินต์,5,4,หมากฝรั่ง+ลูกอม,21,8852008001679
หมากฝรั่งกลิ่นคูลเมนทอล 13.5g,5,4,หมากฝรั่ง+ลูกอม,17,8852008002041
หมากฝรั่งกลิ่นสตรอเบอรืรี่ 13.5g,5,4,หมากฝรั่ง+ลูกอม,13,8852008610185
หมากฝรั่งกลิ่นบลูเบอร์รี่,5,4,หมากฝรั่ง+ลูกอม,12,8852008610192
หมากฝรั่งกลิ่นสเปียร์มินต์ 13.5g,5,4,หมากฝรั่ง+ลูกอม,7,8852008612745
Tommy กลิ่นโคลา 15ก.,5,4,หมากฝรั่ง+ลูกอม,118,8852047237152
อาเมะลูกอมกลิ่นมะนาว 8กรัม,5,4,หมากฝรั่ง+ลูกอม,120,8859524501133
minmin กลิ่นองุ่น 14กรัม,10,8,หมากฝรั่ง+ลูกอม,120,8859589700588
Mentos beats fruit 14g.,5,4,หมากฝรั่ง+ลูกอม,120,8935001720560
Mentos ชิววี่ เเอนด์ คลู เบอร์รี่มินต์,5,4,หมากฝรั่ง+ลูกอม,120,8990800023076
โกปิโก้,5,4,หมากฝรั่ง+ลูกอม,119,8996001321744
