ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ตราชั่ง น้ำปลา 750ซม.,37,33,น้ำปลา,-1,8850180050027
น้ำปลาตาชั้ง750มล,35,29,น้ำปลา,49,8850180051017
แอปเปิ้ล750,28,23,น้ำปลา,6,8850180052014
น้ำปลาแท้ตราแอปเปิลแดง,23,18,น้ำปลา,18,8850180052038
น้ำปลาทิพรส300มล.,17,13,น้ำปลา,173,8850545311114
น้ำปลาทิพรส 700มล.,32,28,น้ำปลา,105,8850545777552
น้ำปลาแท้ตราประหมึก,33,28,น้ำปลา,16,8850620888289
น้ำปลาแท้ ตราปลาหมึก 60มล.,8,6,น้ำปลา,10,8850620888609
น้ำปลาแท้ตราปลาหมึก,25,20,น้ำปลา,18,8850620888777
น้ำปลาปลาหมึก280มล,17,14,น้ำปลา,49,8850620888784
หอยหลอด น้ำปลา300มล,17,14,น้ำปลา,6,8851008000064
น้ำปลารวมรส700มล.,18,15,น้ำปลา,40,8851008000552
น้ำปลาตราหอยหลอด700มล,30,26,น้ำปลา,50,8851008000712
น้ำปลาตราไส้ตันลูกยอด,15,10,น้ำปลา,80,8854291000353
กุ้งระยอง,15,9,น้ำปลา,12,8854291001015
