ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ปุ้มปุย น้ำปลาร้า,30,25,น้ำปลาร้า,3,8850088705326
แม่เภา,30,25,น้ำปลาร้า,12,8857125986779
ปลาร้านางฟ้า400ก,60,53,น้ำปลาร้า,50,8857200247689
เชฟไพรทูรย์400มล,25,21,น้ำปลาร้า,45,8857200273015
เชฟไพรทูรย์400มล,25,20,น้ำปลาร้า,0,8857200273206
ปลาร้าแม่เหรียญฟาขาว400มล,30,22,น้ำปลาร้า,18,8857200292405
น้ำปลาร้าหม่ำ350มล,35,31,น้ำปลาร้า,47,8858759600444
หม่ำแซ่บ350ก,35,26.25,น้ำปลาร้า,0,8858759601557
น้ำปลาร้าแม่บุญล้ำเจ้าเก่าฝาแหลือง,20,14,น้ำปลาร้า,182,8858981500031
น้ำปลาร้าสูตรปรุงรสแม่ล้ำเจ้าเก่าฝาแดง,30,23.5,น้ำปลาร้า,130,8858981500680
ไมค์น้ำปลาร้า,35,30,น้ำปลาร้า,89,8858981500901
แม่เหรียน380มล,35,32,น้ำปลาร้า,10,8859776199904
