ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
มรกต1ลิตร,65,47,น้ำมันพืช,19,8850154000041
กุ๊ก 1ลิตร,55,44,น้ำมันพืช,13,8850180010045
กุ๊ก1.9ลิตร,110,101,น้ำมันพืช,178,8850180010052
กุ๊ก250มล.,18,16.25,น้ำมันพืช,194,8850180010168
กุ๊ก500มล.,35,28,น้ำมันพืช,188,8850180010175
องุ่น230มล.,17,13,น้ำมันพืช,18,8850210000015
องุ่น47มล.,35,26,น้ำมันพืช,196,8850210000022
น้ำมัน องุ่น 1000มล.,55,47,น้ำมันพืช,18,8850210000039
องุ่น1900มล.,110,96,น้ำมันพืช,192,8850210000046
แช่ม,55,46,น้ำมันพืช,6,8850210070018
หยก250มล.,16,12,น้ำมันพืช,185,8850581111006
หยก500มล,30,25,น้ำมันพืช,79,8850581111020
หยก 1ลิตร,50,44,น้ำมันพืช,-35,8850581111044
หยก,99,94,น้ำมันพืช,176,8850581111075
ไชโย250มล.,17,13,น้ำมันพืช,17,8858776300051
ไชโย1ลิตร,55,45,น้ำมันพืช,152,8858776300099
ไชโย500มล.,35,24,น้ำมันพืช,8,8858776300174
ไชโย2ลิตร,110,91,น้ำมันพืช,21,8858776300839
