ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
โซฟี มูฟ,16,14,น้ำยาปรับผ้านุ่ม,20,8851111187010
กรรไกตัดเล็บ,35,30,น้ำยาปรับผ้านุ่ม,40,3031438000001
ตะไบ+ที่ดุนหนัง,20,15,น้ำยาปรับผ้านุ่ม,38,3031462000001
ขนนกใบมีด 5 ใบ,25,22,น้ำยาปรับผ้านุ่ม,37,45176531
ดาวนี่ฟ้า650มล.,55,50,น้ำยาปรับผ้านุ่ม,39,4902430224574
ดาวน์นี่ กลิ่นหอมสดชื่นยามเช้า 1.47ลิตร,150,139,น้ำยาปรับผ้านุ่ม,120,4902430245012
ดาวนี่ 20มล.,4,2,น้ำยาปรับผ้านุ่ม,72,4902430276320
ดาวน์นี้ แพชชั่น 330มล,45,35,น้ำยาปรับผ้านุ่ม,50,4902430276436
ดาวนี่ แพชชั่น 500มล.,60,53,น้ำยาปรับผ้านุ่ม,36,4902430276665
ดาวน์นี่ เเพชชั่น 1.25ลิตร,150,130,น้ำยาปรับผ้านุ่ม,20,4902430355193
ดาวน์นี้,4,3,น้ำยาปรับผ้านุ่ม,124,4902430414241
Downy กลิ่นหอมสดชื่น 560มล.,65,53,น้ำยาปรับผ้านุ่ม,20,4902430414494
ดาวน์นี้110มล,20,15,น้ำยาปรับผ้านุ่ม,4,4902430414722
ดาวร์นี้ ดอกไม้สดชื่น 1.35ล,150,130,น้ำยาปรับผ้านุ่ม,20,4902430415101
ดาร์วน้ี,4,3,น้ำยาปรับผ้านุ่ม,100,4902430417822
Downy กลิ่นกุหลาบ ลูกเเพร่ 560มล.,60,53,น้ำยาปรับผ้านุ่ม,17,4902430417860
ดาวร์นี้110มล,20,16,น้ำยาปรับผ้านุ่ม,19,4902430418164
ดาวน์นี่ กลิ่นหอมช่อดอกไม้ 1350มล.,150,137,น้ำยาปรับผ้านุ่ม,120,4902430419406
ดาวน์นี้,75,65,น้ำยาปรับผ้านุ่ม,50,4902430426855
ดาวน๊นี้,75,65,น้ำยาปรับผ้านุ่ม,49,4902430429887
ดาวน์นี้ปรับ500มล,125,109,น้ำยาปรับผ้านุ่ม,20,4902430431194
ดาวนี่สวนดอกไม้ผลิ,40,35,น้ำยาปรับผ้านุ่ม,-1,4902430452724
ดาวน์นี่ กลิ่นสวนดอกไม้ผลิ 590มล.,60,55,น้ำยาปรับผ้านุ่ม,26,4902430452748
ดาวน์นี่ สูตรเข้มข้นสวนดอกไม้พลิ 1.47ลิตร,150,119,น้ำยาปรับผ้านุ่ม,120,4902430452816
ดาวนี่น้ำเดียว600มล.,60,55,น้ำยาปรับผ้านุ่ม,30,4902430452847
ดาวร์นี้1.35,150,130,น้ำยาปรับผ้านุ่ม,20,4902430452991
ดาวนี้ เเพชั้น 20มล.,75,65,น้ำยาปรับผ้านุ่ม,114,4902430504218
ดาวน์นี่ มิส-ทีค 500มล,60,55,น้ำยาปรับผ้านุ่ม,28,4902430504515
ดาวร์นี้มิสทีค1.35ล,150,130,น้ำยาปรับผ้านุ่ม,19,4902430504560
ดาวน์นี้ มิส-ทีค 20มล.,4,3,น้ำยาปรับผ้านุ่ม,146,4902430504577
ดาวนี่310มลแพ็ค3,118,109,น้ำยาปรับผ้านุ่ม,20,4902430504829
ดาวน์นี้,75,65,น้ำยาปรับผ้านุ่ม,50,4902430542449
ดาวนี่ฟิวชั่น330มล.,40,35,น้ำยาปรับผ้านุ่ม,30,4902430641227
ดาวนี่20มล.,4,2,น้ำยาปรับผ้านุ่ม,30,4902430643092
ดาวนี่โรมานซ์330มล.,40,35,น้ำยาปรับผ้านุ่ม,30,4902430643139
ดาวนี่20มล.,4,2,น้ำยาปรับผ้านุ่ม,30,4902430655729
ดาวนี่20มล.,4,2,น้ำยาปรับผ้านุ่ม,30,4902430655736
ดาวนี่20มล.,4,2,น้ำยาปรับผ้านุ่ม,30,4902430655743
ดาว์นี่สีฟ้า,75,65,น้ำยาปรับผ้านุ่ม,-5,4902430655934
ดาวนี่ชมพูดอกไม้พลิ,75,65,น้ำยาปรับผ้านุ่ม,-4,4902430655941
ดาว์นี่สีน้ำเงิน,70,65,น้ำยาปรับผ้านุ่ม,0,4902430655958
ดาวน์นี้600มล,60,55,น้ำยาปรับผ้านุ่ม,50,4902430679565
ดาวนี่สวีทฮาร์ท330มล.,40,35,น้ำยาปรับผ้านุ่ม,29,4902430687348
ดาวน์นี้ แดร์ริ่ง330มล,40,35,น้ำยาปรับผ้านุ่ม,50,4902430693417
ดาวนี่20มล.,4,2,น้ำยาปรับผ้านุ่ม,30,4902430720779
ดาวน์นี่ กลิ่นสวีทฮาร์ท 500มล.,60,55,น้ำยาปรับผ้านุ่ม,9,4902430721462
ดาวร์นี้22มล,4,3,น้ำยาปรับผ้านุ่ม,100,4902430730693
ดาวน์นี่ เเดร์รื่ง 500มล.,60,48,น้ำยาปรับผ้านุ่ม,120,4902430731447
ดาวน์นี่ เเดร์ริ่ง 1.35ลิตร,150,120,น้ำยาปรับผ้านุ่ม,20,4902430731874
ดาวน์นี่15มล,75,65,น้ำยาปรับผ้านุ่ม,20,4902430738484
ดาวนี่มิสทีค125มล.,20,15,น้ำยาปรับผ้านุ่ม,20,4902430740876
ดาวนี่ฟ้า130มล.,20,15,น้ำยาปรับผ้านุ่ม,20,4902430740883
ดาวร์นี้ซักผ้า35มล,5,4,น้ำยาปรับผ้านุ่ม,20,4902430779937
ดาว์นี่ดอกไม้ชมพู,75,65,น้ำยาปรับผ้านุ่ม,-2,4902430780599
ดาวนี่สวนดอกไม้130มล.,20,15,น้ำยาปรับผ้านุ่ม,27,4902430803434
ดาวนี่แพชชั่น125มล.,20,15,น้ำยาปรับผ้านุ่ม,24,4902430803595
ดาวนี่ซากุระ,65,60,น้ำยาปรับผ้านุ่ม,-2,4902430809016
ดาวน์นี้120มล,20,18,น้ำยาปรับผ้านุ่ม,100,4902430822633
ดานนี้16มล,4,2,น้ำยาปรับผ้านุ่ม,100,4902430837026
ดาวร์นี้16มล,4,3,น้ำยาปรับผ้านุ่ม,100,4902430837071
ดาวน์นี้100มล,20,18,น้ำยาปรับผ้านุ่ม,100,4902430838313
ดาวน์นี้100มล,20,18,น้ำยาปรับผ้านุ่ม,100,4902430838337
ดาวน์นี้ ซีเคร็ท300มล,40,35,น้ำยาปรับผ้านุ่ม,50,4902430838344
ดาวน์นี้490มล,60,55,น้ำยาปรับผ้านุ่ม,20,4902430838351
ดาวน์นี้  อควา300มล,40,35,น้ำยาปรับผ้านุ่ม,49,4902430838368
ดาวน์นี้580มล,60,55,น้ำยาปรับผ้านุ่ม,50,4902430839532
ดาวร์นี็20มล,4,3,น้ำยาปรับผ้านุ่ม,100,4902430864923
ดาวร์นี้300มล,40,35,น้ำยาปรับผ้านุ่ม,20,4902430864947
ดาวน์นี้540มล,60,55,น้ำยาปรับผ้านุ่ม,50,4902430864954
ดาวน์นี่ กลิ่นสปอร์ต 1.35มล.,150,130,น้ำยาปรับผ้านุ่ม,20,4902430864978
ดาวน์นี้,4,3,น้ำยาปรับผ้านุ่ม,100,4902430867849
ดาวน์นี้,75,65,น้ำยาปรับผ้านุ่ม,49,4902430872430
ดาวน์นี่ สำหรับตากผ้าในร่ม 1.35ล,150,130,น้ำยาปรับผ้านุ่ม,18,4902430873178
ดาวร์นี้150มล,20,16,น้ำยาปรับผ้านุ่ม,20,4902430897877
ดาวร์นี้110มล,20,16,น้ำยาปรับผ้านุ่ม,18,4902430901369
ดาวร์นี้540มล,55,45,น้ำยาปรับผ้านุ่ม,20,4902430928724
