ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ไลปอนเอฟ550มล.,25,20,น้ำยาล้างจาน,29,8850002010109
ไลปอนเอฟ150 มล.,12,10,น้ำยาล้างจาน,26,8850002010116
ไลปอนเอฟ500มล.,30,27,น้ำยาล้างจาน,26,8850002010123
ไลปอน500มล,30,25,น้ำยาล้างจาน,50,8850002012486
ไลปอน500มล,25,20,น้ำยาล้างจาน,49,8850002012509
โปร400มล.,10,8,น้ำยาล้างจาน,4,8850002012516
ซันไล300มล,20,16,น้ำยาล้างจาน,20,8850002012516_x001E_
ไลปอนเอฟ 500มล.,30,27,น้ำยาล้างจาน,100,8850002022539
ไลปอนเอฟ150 มล.,12,10,น้ำยาล้างจาน,20,8850002022812
โปร750มล.,28,23.5,น้ำยาล้างจาน,12,8850002031722
โปร750มล.,25,20,น้ำยาล้างจาน,19,8850002032248
โปร400มล.,12,10,น้ำยาล้างจาน,20,8850002032255
โปรสูตรเบอรี่,30,25,น้ำยาล้างจาน,10,8850002032262
โปร750มล,25,20,น้ำยาล้างจาน,50,8850002034129
ไลปอนเอฟเจแปนนีสพีช500 มล.,25,20,น้ำยาล้างจาน,120,8850002034365
วิซโนดัสต์520มล,45,40,น้ำยาล้างจาน,50,8850092092115
วิซโนดัสต์520มล,45,40,น้ำยาล้างจาน,50,8850092094119
อาท600มล,60,55,น้ำยาล้างจาน,20,8850273111307
เพียวรีน ผลิตภัณฑ์ล้างขวดนม 550มล.,55,48,น้ำยาล้างจาน,120,8850848013579
ปินโต ออริจินอล 420มล.,10,7,น้ำยาล้างจาน,24,8850969366011
ปินโต800มล,20,15,น้ำยาล้างจาน,20,8850969369777
ปินโต800มล,20,15,น้ำยาล้างจาน,20,8850969369784
ปินโต 800มล,20,15,น้ำยาล้างจาน,5,8850969373873
ทีโพล์500มล,20,15,น้ำยาล้างจาน,40,8851495003579
ทีโพล์ ดิชซุปเปอร์ 400มล.,12,10,น้ำยาล้างจาน,0,8851495017385
ยูนิป๊อป,25,20,น้ำยาล้างจาน,20,8851566090316
ซํนไลต์550มล.,30,25,น้ำยาล้างจาน,10,8851932187428
ซํนไลต์525มล.,27,20,น้ำยาล้างจาน,20,8851932347891
ซันไลน์,20,18,น้ำยาล้างจาน,21,8851932368544
ซํนไลต์500มล.,35,30,น้ำยาล้างจาน,15,8851932370998
ซํนไลต์150มล.,14,12,น้ำยาล้างจาน,7,8851932371025
ซันไลต์150มล.,12,10,น้ำยาล้างจาน,19,8851932371049
ซันไลต์ซากุระ,79,69,น้ำยาล้างจาน,10,8851932381673
ซันไลต์ เพียว พลัส 145มล,12,10,น้ำยาล้างจาน,50,8851932388627
ซันไลต์ 550มล.,27,25,น้ำยาล้างจาน,118,8851932389563
ซันไลต์300มล,20,18,น้ำยาล้างจาน,50,8851932401371
ซันไลต์เนเจอร์300มล,20,18,น้ำยาล้างจาน,50,8851932401388
ซันไลต์300มล,20,15,น้ำยาล้างจาน,47,8851932413183
ซัลไลร์820มล,42,36,น้ำยาล้างจาน,6,8851932419307
ซันไลต เเอนตี้เเบค 145มล.,13,11,น้ำยาล้างจาน,99,8851932420006
โอโม ล้างจาน 400มล.*3,27,21,น้ำยาล้างจาน,24,8851932422017
ซันไลต์300มล.,20,17,น้ำยาล้างจาน,100,8851932423274
ดิชแฮปปี้,12,10,น้ำยาล้างจาน,22,8852524007841
ว้าว มะนาว,27,25,น้ำยาล้างจาน,10,8859333700048
