ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ยาเส้นเรือบิน 20ห่อ,100,81,บุหรี่+ยาเส้น,118,02092080102
คาเมลฟิลเตอร์,72,67,บุหรี่+ยาเส้น,46,40329055
คาเมล บลู,60,0,บุหรี่+ยาเส้น,47,40329086
วินสตันกรีน ใหญ่,95,87,บุหรี่+ยาเส้น,43,42137085
วินตั้นน้ำเงิน,95,90,บุหรี่+ยาเส้น,9,42137443
วินสตันเรด ใหญ่,95,87,บุหรี่+ยาเส้น,46,42138037
L&Mเขียว เล็ก,75,67,บุหรี่+ยาเส้น,19,76164064
L&M เขียว 7.1,75,69,บุหรี่+ยาเส้น,120,88500164
กรองทิพ 90,115,97,บุหรี่+ยาเส้น,16,8850170000155
วันเดอร์ เขียว,70,65,บุหรี่+ยาเส้น,20,8850170000483
SMS เเดง,70,65,บุหรี่+ยาเส้น,193,8850170000797
SMS เขียว,70,65,บุหรี่+ยาเส้น,5,8850170000803
กรองทิพ 7.1,85,0,บุหรี่+ยาเส้น,19,8850170001336
ไลน์แดง เล็ก,60,0,บุหรี่+ยาเส้น,20,8850170001558
ไลน์เขียว เล็ก,60,0,บุหรี่+ยาเส้น,19,8850170001565
ไลน์แดง ใหญ่,60,0,บุหรี่+ยาเส้น,20,8850170001657
ไลน์เขียว ใหญ่,60,0,บุหรี่+ยาเส้น,19,8850170001664
วันเดอร์ แดง,70,65,บุหรี่+ยาเส้น,54,8850170001794
วันเดอร์ เขียว,70,65,บุหรี่+ยาเส้น,124,8850170001800
อุทัยทิพ,25,20,บุหรี่+ยาเส้น,30,8856440000344
ยาเส้นตราแมวเขียว,15,10,บุหรี่+ยาเส้น,40,8859441400212
ยาเส้นตราแมวแดง,15,10,บุหรี่+ยาเส้น,40,8859441400236
แมวเขียว22ก,15,11,บุหรี่+ยาเส้น,186,8859441400243
แมวแดง22ก,15,11,บุหรี่+ยาเส้น,184,8859441400250
Iscore blue,72,65,บุหรี่+ยาเส้น,195,8886419700654
Iscore 5.0,70,62,บุหรี่+ยาเส้น,192,8886419711070
วินสตัน เเดง คอมเเพค,70,62,บุหรี่+ยาเส้น,28,95012162
วินสตันบลูเล็ก,60,55,บุหรี่+ยาเส้น,14,95012179
วินสตัน เขียว คอมเเพค,70,62,บุหรี่+ยาเส้น,12,95012186
คาเมลมิดไนท์,60,55,บุหรี่+ยาเส้น,5,95012353
L&Mเเดง เล็ก,75,67,บุหรี่+ยาเส้น,8,95509730
L&Mเขียว เล็ก,75,67,บุหรี่+ยาเส้น,15,95509747
L&M Storm7.1,75,67,บุหรี่+ยาเส้น,187,95510361
