ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ก้านสำลี100ก้าน,10,8,ของใช้ส่วนตัว,50,8852117111054
หวี,15,10,ของใช้ส่วนตัว,10,1013151925001
หวีแฟชั้น,20,13,ของใช้ส่วนตัว,50,1013151929001
หวีแฟชั้น,10,7,ของใช้ส่วนตัว,10,1013153031001
หวีแฟชั่น,20,15,ของใช้ส่วนตัว,0,1013153330001
หวีเล็กด้ามการ์ตูน,10,5,ของใช้ส่วนตัว,0,17011009
กระจกno.528,20,15,ของใช้ส่วนตัว,12,17011085
หน้ากากใส 1ชิ่น,35,29,ของใช้ส่วนตัว,20,2021310800001
Mask ผ้าคละสี,20,15,ของใช้ส่วนตัว,20,2021311000001
Mask ผ้าคละสี,25,19,ของใช้ส่วนตัว,100,2021311300001
แปรงหินขัดส้นเท้า,29,25,ของใช้ส่วนตัว,0,3031663000001
หินขัดเท้า,29,25,ของใช้ส่วนตัว,0,3031665000001
เเมนซอง แหนบ ,35,28,ของใช้ส่วนตัว,200,3032023200001
หน้ากากผ้ากรองอากาศ,50,45,ของใช้ส่วนตัว,20,39070331
ยางลบ,5,4,ของใช้ส่วนตัว,40,4007817524688
นิเวีย เมน คูล คิก 25ml.,52,49,ของใช้ส่วนตัว,118,42185437
นิเวีย เมน คูลคิก 25ml.,49,39,ของใช้ส่วนตัว,113,42418085
นิเวีย ดีโอ C&E 25ml.,55,44,ของใช้ส่วนตัว,118,42419723
นีเวีย เอ็กซ์ตร้า ไบร์เทนนิ่ง 25ml,50,45,ของใช้ส่วนตัว,122,42420231
ถุงเท้า,20,15,ของใช้ส่วนตัว,100,44900002
ยิลเลตต์ บลู2 เฟล็กซ์ซี่,25,20,ของใช้ส่วนตัว,118,4902430481502
มีดโกนหนวดยิลเลตต์,25,20,ของใช้ส่วนตัว,30,4902430586337
รีจอยส์450มล,120,105,ของใช้ส่วนตัว,50,4902430862585
คูลฟีเวอร์ ผู้ใหญ่ 6 Sheets,120,95,ของใช้ส่วนตัว,120,4987072070321
คูลฟีเวอร์ เด็ก 6 Sheets,120,95,ของใช้ส่วนตัว,120,4987072096901
กระดาษห่อเหรียญ,35,30,ของใช้ส่วนตัว,200,5112581077205
น.เสื้อกันฟนเด็ก H08,59,42,ของใช้ส่วนตัว,11,55010427
ริบบิ้นม่วนเล็ก,15,10,ของใช้ส่วนตัว,30,600113
กาวร้อน,20,10,ของใช้ส่วนตัว,50,67092624
น็อต,25,20,ของใช้ส่วนตัว,30,6903539900770
Mask ผ้าคละสี,20,15,ของใช้ส่วนตัว,0,6920553703941
กาว,15,10,ของใช้ส่วนตัว,30,6921734971678
ตะกร้าใส่ของ,25,20,ของใช้ส่วนตัว,20,6926124776215
แปลง,25,20,ของใช้ส่วนตัว,30,6928724860127
แปลงขัดห้องน้ำ,25,20,ของใช้ส่วนตัว,29,6935201850090
ลิขวิด,20,15,ของใช้ส่วนตัว,30,6936198403252
ถุงเท้า,20,15,ของใช้ส่วนตัว,100,6936596955872
แม็กเย็บ,25,20,ของใช้ส่วนตัว,30,6946985191330
ยางลบ,5,4,ของใช้ส่วนตัว,30,6949029913202
ลามุน กระดาษเช็ดหน้า 150แผ่น,25,20,ของใช้ส่วนตัว,119,6952798901981
ไม้จิ้มฟัน,20,15,ของใช้ส่วนตัว,0,6967515454909
SMT ไหมขัดฟัน 50pcs.,15,7.5,ของใช้ส่วนตัว,19,6972281600030
ไม้จิ้มฟัน,20,15,ของใช้ส่วนตัว,0,6974184075014
ชุดเข็มเย็บผ้า,25,19,ของใช้ส่วนตัว,50,6988855566619
Mask ผ้าคละสี,20,15,ของใช้ส่วนตัว,20,6990314575537
Mask ผ้าคละสี,25,19,ของใช้ส่วนตัว,10,6990824058001
กาวใส,25,20,ของใช้ส่วนตัว,50,6994651621537
XuanXuan แปรงล้างขวด,25,17,ของใช้ส่วนตัว,12,7000000004247
ไม่เสียบอนามัย 8 นิ้ว,20,15,ของใช้ส่วนตัว,123,82230104
ไม่เสียบอานามัย 5*12,20,0,ของใช้ส่วนตัว,20,82230110
ต้นไผ่ ถุงร้อนใส 4/2 *7,38,32,ของใช้ส่วนตัว,24,83010104
ถุงร้อน6*9,40,35,ของใช้ส่วนตัว,40,83010106
ถุงหิ้ว6*11,10,8,ของใช้ส่วนตัว,20,83030102
ถุงหิ้ว6*14,10,8,ของใช้ส่วนตัว,40,83030103
VR ถุงหิ้ว 5*9,5,3,ของใช้ส่วนตัว,12,83040101
VR ถุงหิ้ว 6*11,10,8,ของใช้ส่วนตัว,24,83040102
VR ถุงหิ้ว 6*14,10,8,ของใช้ส่วนตัว,24,83040103
ถุงppหนา4*4,40,35,ของใช้ส่วนตัว,20,83060123
BBQ ปืนจุกเเก๊ส SY-065,25,20,ของใช้ส่วนตัว,48,8468371900152
BOBO กระดาษห่อเหรียญ,35,30,ของใช้ส่วนตัว,100,8522123457247
สำลีก้านเชอร่รี่,25,20,ของใช้ส่วนตัว,0,8850014490012
นิเวีย เมน สเตรส โพรเทค 25ml.,49,44,ของใช้ส่วนตัว,120,8850029000480
สก็อตต์ ซีเลคค์ เเพ็ค 12,100,85,ของใช้ส่วนตัว,12,8850039201945
สก็อตต์ ซีเลคท์ 50แผ่น,10,7,ของใช้ส่วนตัว,0,8850039207565
สก็อตต์ เอ็กซ์ตร้า 86แผ่น,15,9,ของใช้ส่วนตัว,120,8850039600069
คลีเน็กซ์ กระดาษเช็ดหน้า 60เเผ่น,25,19,ของใช้ส่วนตัว,120,8850039715091
เซลล็อกซ์ กระดาษเว็ดหน้า,3,1,ของใช้ส่วนตัว,120,8850046024131
เบลล์ กระดาษชำระ,30,25,ของใช้ส่วนตัว,19,8850046151080
เซลล็อกซ์ ป๊อป-อัพ,15,8,ของใช้ส่วนตัว,120,8850046363100
ไบโอเซฟตี้ เพอร์เฟคคลีน,20,16,ของใช้ส่วนตัว,50,8850114311040
แปลงไปโอ,20,16,ของใช้ส่วนตัว,48,8850114340385
มังกรคู่เล็ก,9,6.6,ของใช้ส่วนตัว,91,8850122101060
กล่องใส่อาหาร เนสเล่,20,0,ของใช้ส่วนตัว,119,8850125089044
อมูซองต์ เจลล้างมือ 50มล.,0,39,ของใช้ส่วนตัว,12,8850133399548
ไบกอนฉีดมด,75,66,ของใช้ส่วนตัว,25,8850175068143
มีดโกนหนวดซูเปอร์คลิ๊ก,25,20,ของใช้ส่วนตัว,17,8850184120009
รถพยาบาลสำลีแผ่น 50กรัม,20,17,ของใช้ส่วนตัว,120,8850185000331
ชอล์กอัศวิน,5,3,ของใช้ส่วนตัว,20,8850214070052
อัศวินแรท,15,10,ของใช้ส่วนตัว,20,8850214080303
เดลี่เฟรช กลิ่นลาเวนเดอร์ 60กรัม,29,21,ของใช้ส่วนตัว,1,8850273225110
เดลี่เฟรช กลิ่นส้ม 60กรัม,29,21,ของใช้ส่วนตัว,120,8850273263402
คิงส์สเตลล่า 200มล.,50,45,ของใช้ส่วนตัว,50,8850299000258
คิงส์สเตลล่า 200มล.,50,45,ของใช้ส่วนตัว,50,8850299000340
คิงส์สเตลล่า 200มล.,50,45,ของใช้ส่วนตัว,50,8850299000364
สก็อตช์ไปรต์ แผ่นใยขัด ,15,13,ของใช้ส่วนตัว,16,8850304000068
สก๊อตร์ไบรส์,20,18,ของใช้ส่วนตัว,50,8850304000075
ขัดหม้อ,45,40,ของใช้ส่วนตัว,100,8850304000136
สก็อตช์ไปรต์3ชิ้น,20,15,ของใช้ส่วนตัว,20,8850304015161
ฝอยขัดหม้อ3m,10,8,ของใช้ส่วนตัว,100,8850304070825
ชิวล์ม็อกซ์,60,55,ของใช้ส่วนตัว,0,8850360092038
ไม้กวาด ดอกหญ้า,45,38,ของใช้ส่วนตัว,100,885040
แซมมี่ 100 ก้าน,20,15,ของใช้ส่วนตัว,100,8850432001036
แผ่นชาโคลคูล,40,35,ของใช้ส่วนตัว,0,8850461091381
ATM ก้อนดับกลิ่น,25,20,ของใช้ส่วนตัว,55,8850535040819
ก้อนดับกลิ่น,15,10,ของใช้ส่วนตัว,20,8850535100445
ลูกเหม็น,10,8,ของใช้ส่วนตัว,20,8850535200701
ถุงมือ วีเท็คซ์10ชิ้น,35,29,ของใช้ส่วนตัว,6,8850617061121
เบบี้เลิ๊ฟxxl,75,62,ของใช้ส่วนตัว,20,8850709200452
เบบี้เลิฟ L กลางวัน (เเพค),75,69,ของใช้ส่วนตัว,119,8850709762134
เมจิลิป,25,20,ของใช้ส่วนตัว,-1,8850722127682
หวีอีโต้,15,12,ของใช้ส่วนตัว,100,8850734041693
หวี,20,15,ของใช้ส่วนตัว,50,8850734041884
พี.เจ.เฮิร์บ สบู่สมุนไพร 160g.,35,30,ของใช้ส่วนตัว,120,8850800990016
ไฟแช้ค,6,4,ของใช้ส่วนตัว,0,8850871361005
Poly ไฟเเซ็ค,5,3,ของใช้ส่วนตัว,101,8850871362002
โพลี,5,4,ของใช้ส่วนตัว,89,8850871400001
เเลคตาซิด เอ็กซ์ตร้า เซนซิทีฟ 60มล.,65,60,ของใช้ส่วนตัว,120,8850886011100
ถุงมือ,15,13,ของใช้ส่วนตัว,20,8850900004132
ดินสอ,60,55,ของใช้ส่วนตัว,100,8850936080018
กระดาษห่อของขวัญ,5,3,ของใช้ส่วนตัว,0,8850944859910
ฟองน้ำ ใหญ่,20,14,ของใช้ส่วนตัว,118,8851023
ไม้แขวน,35,30,ของใช้ส่วนตัว,0,8851093000635
ไม้แขวนเสื้อ,30,25,ของใช้ส่วนตัว,18,8851093001090
โซฟี23ซม.5ชิ้น,35,30,ของใช้ส่วนตัว,0,8851111115013
โซฟี3ชิ้น 23 ซม.,16,13,ของใช้ส่วนตัว,93,8851111115068
โซฟิถนอมผิว 23ซม. 8ชิ้น,29,25,ของใช้ส่วนตัว,99,8851111131013
โซฟี 35ซม. 4ชิ้น,26,20,ของใช้ส่วนตัว,99,8851111162017
โซฟี กลางคืน 33ซม.,25,19,ของใช้ส่วนตัว,120,8851111174034
"_x000D_
โซฟี_x000D_
_x000D_
 ชาร์โคล เฟรช 29ซม.",20,16,ของใช้ส่วนตัว,120,8851111180011
mamypoko XL,85,80,ของใช้ส่วนตัว,0,8851111420230
มามี่โพโค11ชิ้น,75,70,ของใช้ส่วนตัว,50,8851111421022
น้ำมันรถ,30,28,ของใช้ส่วนตัว,118,885112
ซิวิท เลมอน140มล,16,13.33,ของใช้ส่วนตัว,79,8851123237000
เบบี้มายด์ สวีทตี้พิงค์ พลัส เบบี้ โลชั่น 180 มล.,50,45,ของใช้ส่วนตัว,100,8851123344395
เบบี้มายออยลื,35,30,ของใช้ส่วนตัว,0,8851123349086เ
เบบี้มายด์ อัลตร้ามายด์ สวีท อัลมอนด์ เบบี้ ออยล์ ทู มิลค์100มล.,39,35,ของใช้ส่วนตัว,100,8851123349864
เอ็กซิท เนเวอร์ สต็อป เคลียร์ 32.5มล.,39,31,ของใช้ส่วนตัว,120,8851123766258
ทเวลฟ์ พลัส ไวท์เทนนิ่ง เลสเซฟ รีนิว 32.5มล.,40,35,ของใช้ส่วนตัว,120,8851123795425
ทเวฟืพไวทืนิ่ง,40,35,ของใช้ส่วนตัว,-1,8851123795654
ทเวลฟ,40,35,ของใช้ส่วนตัว,-1,8851123795746
ทเวลฟืพลัสบำรุงผิว,55,50,ของใช้ส่วนตัว,0,8851123801423
ทเวลฟ์ พลัส ไวท์เทนนิ่ง พลัส 32.5มล.,40,35,ของใช้ส่วนตัว,120,8851123809009
ทเวลฟ์ พลัส อินสตา ไวท์ พีลลิ่ง แพ็ค มาส์ใต้วงแขน 8 กรัม,25,20,ของใช้ส่วนตัว,100,8851123809146
mทเวลฟืพลัส,40,35,ของใช้ส่วนตัว,0,8851123809160
ขูดมะพร้าว,25,17,ของใช้ส่วนตัว,6,8851163000558
ฟองน้ำคิงคอง,5,3,ของใช้ส่วนตัว,20,8851315000023
แปลงขัดพื้นมิสเตอร์,30,25,ของใช้ส่วนตัว,20,8851315001891
คิงคองฝอยสแตนเลส,10,8,ของใช้ส่วนตัว,199,8851315004465
คิงคอง,10,8,ของใช้ส่วนตัว,-1,8851315005059
แม็กเย็บ,30,25,ของใช้ส่วนตัว,20,8851403186684
คัดเตอร์,25,20,ของใช้ส่วนตัว,20,8851433002770
แม็กซ์ No.10-1M,10,8,ของใช้ส่วนตัว,-3,8851552108001
ตราม้า ปากกาเคมี น้ำเงิน,15,8,ของใช้ส่วนตัว,39,8851552201016
ปากกาเคมี,10,8,ของใช้ส่วนตัว,50,8851552201030
กาวน้ำ,20,15,ของใช้ส่วนตัว,50,8851552652009
ม้า ดินสอสี 12สี,40,34,ของใช้ส่วนตัว,19,8851553302132
กาว,15,10,ของใช้ส่วนตัว,20,8851553413005
แปลงซักผ้า,20,15,ของใช้ส่วนตัว,20,8851669993613
แปลงล้างห้องน้ำ,50,45,ของใช้ส่วนตัว,20,8851669993866
mt ริบบิ้นห่อเหรียญ (เเดง) 50หลา,15,9,ของใช้ส่วนตัว,120,8851673208260
เมอร์รี่ไบรท์,5,4,ของใช้ส่วนตัว,47,8851705001104
ฟองน้ำหุ่มตาขาย,5,4,ของใช้ส่วนตัว,18,8851705001142
เมอร์ซี่ เฟรช 30มล.,35,30,ของใช้ส่วนตัว,50,8851736888415
เมอร์ซี่ ฟลอร่า 30มล.,35,30,ของใช้ส่วนตัว,50,8851736888514
ซํนเจี่ย,30,25,ของใช้ส่วนตัว,20,8851748000201
ลอรีเอะอัลตร้าสลิม,16,14,ของใช้ส่วนตัว,20,8851818054424
ลอรีเอะ S&S 30ซม.กลางคืน,16,12,ของใช้ส่วนตัว,102,8851818056442
ลอรีเอะ4ชิ้น,12,10,ของใช้ส่วนตัว,20,8851818191778
ลอรีเอะกางคืน4ชิ้น 30ซม. ,16,14,ของใช้ส่วนตัว,5,8851818191891
สมุดชีก,5,4,ของใช้ส่วนตัว,20,8851906800025
สมุดตราช้าง 80แกรน,10,8,ของใช้ส่วนตัว,71,8851907147143
ริควิช,20,15,ของใช้ส่วนตัว,50,8851907200534
กาวแท่ง,20,15,ของใช้ส่วนตัว,50,8851907226503
ริควิช,20,15,ของใช้ส่วนตัว,50,8851907258368
สบู่พฤกษา นกเเก้ว กลิ่นลิลลี่ พีช 4 ก้อน,50,45,ของใช้ส่วนตัว,120,8851929020325
ซันซิล สูตรผมมีน้ำหนัง 1+1,170,160,ของใช้ส่วนตัว,119,8851932383431
เคลียร์ ไอซ์คูล เมนทอล 480มล.,119,108,ของใช้ส่วนตัว,100,8851932391542
Pond's ไบรท์ มิราเคิล SPF15,15,9,ของใช้ส่วนตัว,12,8851932461368
แปลงตราเสมอ,30,25,ของใช้ส่วนตัว,30,8851938800086
แปลงซักผ้าตราเสมอ,25,20,ของใช้ส่วนตัว,30,8851938800109
สมอ-แปรงซักผ้า#เรนโปว์,20,15,ของใช้ส่วนตัว,12,8851938901455
วีแคร์แปรงผู้ใหญ่,20,15,ของใช้ส่วนตัว,49,8851973059180
เอเวอร์เซ้นส์ โคโลญ มาร์ชเมลโล่ 20มล.,30,24,ของใช้ส่วนตัว,5,8851989013435
Tros เอ็กซ์ตรีม สปอร์ต 25มล.,35,30,ของใช้ส่วนตัว,118,8851989024196
ดีนี่สำลีก้าน,10,8,ของใช้ส่วนตัว,9,8851989060071
ดีนี่ซักพ้าเด็ก,49,45,ของใช้ส่วนตัว,0,8851989061528
ดีนี่เบบี้ออยลื,39,32,ของใช้ส่วนตัว,0,8851989062464
ดีนีเบบี้ออย,39,32,ของใช้ส่วนตัว,0,8851989062471
ดีนี่ คิดส์ เฮด เเอนด์ บอดี้ สมาร์ทตี้ 200มล.,55,48,ของใช้ส่วนตัว,120,8851989063980
ดีนี่ คิดส์ เฮด เเอนด์ บอดี้ เมจิก สโนว์ 200มล.,55,48,ของใช้ส่วนตัว,120,8851989064666
วีไวต์ ออร์เเกนิค ไวท์ ที 20มล.,30,24,ของใช้ส่วนตัว,120,8851989070827
วีไวต์ โอ เดอร์ เลิฟ ลัช 6มล.,45,38,ของใช้ส่วนตัว,100,8851989070896
