ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ไจแอนท์ รสนม,5,4,ขนม+ไอสครีม,20,8850157521000
ฟาร์มเฮ้าส์ โฮลวีก ใส้ปูอัดมายองเนส 55ก.,10,9,ขนม+ไอสครีม,120,8850123122002
เลย์ สเเตคส์ 14g,5,4,ขนม+ไอสครีม,120,8850718807109
โดโซะ รสกลมกล่อม,20,16,ขนม+ไอสครีม,98,8851004801184
คอนเน่รสเข้มข้น,20,15,ขนม+ไอสครีม,5,8851727003056
อาหารเช้าซีเรียลโฮเกรนข้าวโพดผสมข้าวสาลีอบกรอบเคลือบน้ำผึ่ง 20 กรัม,10,8,ขนม+ไอสครีม,118,4800361028011
โกโก้ครั้น,25,21,ขนม+ไอสครีม,-2,4800361339360
อาหารเช้าซีเรียลโฮลเกรนข้าวสาลีอบกรอบรสช็อกโกแลตและรสไวท์ช็อกโกแลต 20 กรัม,10,8,ขนม+ไอสครีม,120,4800361346597
ถั่วเค็ม,5,3,ขนม+ไอสครีม,120,548019999873551
ช็อกโกแลตนม ตรา m&m 13.5กรัม,10,8,ขนม+ไอสครีม,120,69025952
ลูกอมโคล่าโบน20ก,5,3,ขนม+ไอสครีม,199,6906911131670
สมอล โบน 20ก,5,3,ขนม+ไอสครีม,200,6906911132769
M&M's ช็อคโกเเลตนม 14.5ก.,10,7,ขนม+ไอสครีม,118,6914973603516
เอ็มแอนด์เอ็ม 14.5 กรัม,10,8,ขนม+ไอสครีม,16,6914973603547
เมนทอส เรนโบว์ เเคนดี้ 37กรัม,10,8,ขนม+ไอสครีม,100,6921211104230
สาหร่าย ปรุุงรสดั้งเดิม,20,15,ขนม+ไอสครีม,119,6923647290006
โว้ค เอนจอย เปเปอร์มิ้นท์ 1.6กรัม,5,3,ขนม+ไอสครีม,120,692399809991
สติ๊กมาร์ชแมลโลว์,5,4,ขนม+ไอสครีม,30,6925925027557
มาสเมโร พลัส รสสตอเบอร์รี่,5,4,ขนม+ไอสครีม,199,6925925906906
ออโก้ สติ๊ก มาร์ชเเมลโลว์ 20กรัม,5,3,ขนม+ไอสครีม,10,6925925907200
เออโก้ มาร์ชเเมบลโลว์ เเยมสตรอเบอร์รี่ 17กรัม,5,4,ขนม+ไอสครีม,19,6925925909686
เออโก้ มาร์ชเเมบลโลว์ เเยมองุ่น 17กรัม,5,4,ขนม+ไอสครีม,19,6925925909716
เห็ดหิมะ 150g.,20,17,ขนม+ไอสครีม,118,6930274615058
มี-ไลค์ สตรอเบอร์รี่ 14กรัม,5,3,ขนม+ไอสครีม,120,6950580400353
EHS ช็อคโกเเลต 13กรัม,5,4,ขนม+ไอสครีม,119,6952201705199
หวาน หวานสดชื้น10ก,5,3,ขนม+ไอสครีม,200,6970841110241
บิสกิตแท่งกับครีมรสช็อกโกแลต ตราอลิซ 20ก.,5,3.84,ขนม+ไอสครีม,24,6972202840224
yasitai รสส้ม 15กรัม,5,4,ขนม+ไอสครีม,120,6972409400061
บอนโอบอน,5,3,ขนม+ไอสครีม,0,7500443001945
เเม่สมบูรณ์ มะม่วงกวนเผ็ด ,20,18,ขนม+ไอสครีม,120,75846600
โอวันตินสอดไส้,5,3,ขนม+ไอสครีม,10,7612100062845
บอนโอบอน14ก,5,4,ขนม+ไอสครีม,45,7790580317430
เทสโต รสซอลธ์เเอนด์ซาวร์ 11กรัม,5,4,ขนม+ไอสครีม,120,7851081416050
นลินนิภา ถั่วตัด 80กรัม,10,7,ขนม+ไอสครีม,120,79020106
เเซนด์วิชหมูหยอง,5,4,ขนม+ไอสครีม,10,81050055
สามดาวฯ ขนมปังกรอบ หน้ากระเทียม ,20,16,ขนม+ไอสครีม,118,87090101
เนสท์เล่ โยเกิร์ต เเอนด์ เกรฟ เฟลเวอร์ 67ก.,20,16,ขนม+ไอสครีม,119,8850011051797
เนสท์เล่ ช็อกป๊อป สตรอเบอร์รี่ 57ก.,20,16,ขนม+ไอสครีม,120,8850011054514
เนสเล่ โมจิ บราวน์ชูการ์ 50กรัม,20,18,ขนม+ไอสครีม,117,8850011054712
บลูเบอร์รี่ ชีสเค้ก,25,18,ขนม+ไอสครีม,23,8850011058772
เอ็กซ์ตรีม วนิลลา&สตรอเบอร์รี่ 47กรัม,15,11,ขนม+ไอสครีม,119,8850011061895
ฮันนี่,5,3,ขนม+ไอสครีม,10,8850011065077
โมจิ งาดำ ,20,14.95,ขนม+ไอสครีม,24,8850011065169
เนสท์เล่ นมเปรี้ยว เยลลี่ส้ม,10,7.48,ขนม+ไอสครีม,24,8850011068658
ไอศกรีนหวานเย็นชาเขียว กลิ่นฮันนี่เลม่อน,15,13,ขนม+ไอสครีม,120,8850011070576
โอวัลติน สมาร์ท รสมอลต์ผสมนม 170มล.,45,38,ขนม+ไอสครีม,120,8850086161711
ปุ่มปุ้ย155ก,15,13,ขนม+ไอสครีม,200,8850088003736
ฟาร์มเฮ้าส์ ขนมปัง ช็อคโกเเลต 80ก.,10,8,ขนม+ไอสครีม,120,8850123005381
ฟาร์มเฮ้าส์ ขนมปังเเซนวิช 480ก.,36,34,ขนม+ไอสครีม,-3,8850123110108
ฟาร์มเฮ้าส์ ขนมปังแผ่น 240ก.,19,16,ขนม+ไอสครีม,120,885012311011
ฟาร์มเฮ้าส์ ขนมปัง ชนิดแผ่น 240ก.,19,17,ขนม+ไอสครีม,109,8850123110115
ฟาร์มเฮ้าส์ ขนมปังลูกเกด 70ก.,12,9,ขนม+ไอสครีม,120,8850123110320
ขนมปังรสกะทิใบเตย 85 ก.,12,10,ขนม+ไอสครีม,120,8850123110344
ฟาร์มเฮ้าส์ เเครนเบอร์รี่ ลูกเกด 70ก.,12,9,ขนม+ไอสครีม,120,8850123110351
ฟาร์มเฮ้า ขนมปังโฮลวีต 250ก.,22,19,ขนม+ไอสครีม,120,8850123110412
เดลี่แซนด์วิช หมูหยอง,12,10,ขนม+ไอสครีม,10,8850123110801
ขนมปังแซนวิชไส้ไก่หยองน้ำพริกเผา 50g,12,10,ขนม+ไอสครีม,120,8850123110856
เดลี่เเซนด์วิช หมูยองโบโลน่า,12,10,ขนม+ไอสครีม,10,8850123110894
ฟาร์มเฮ้าส์ เเซนวิชใส่ปูอัด 65กรัม,13,11,ขนม+ไอสครีม,120,8850123111327
