ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ข้าวเหนียวเด็ก5กก,180,166,ข้าว,5,750407002
ข้าวเด็ก1กก,37,31,ข้าว,100,75040701
หมูน้อย 14ก.,415,399,ข้าว,100,75040706
ข้าวเด็ก5กก,155,143,ข้าว,20,75040720
ข้าวตราส้ม5กก,110,98,ข้าว,5,75060210
ข้าวสกลชมพู มะลิ 55% 15กิโล,325,315,ข้าว,100,881507000237
กวางเขียว5กก,155,139,ข้าว,99,8851507000022
ข้าวหมูเชฟ5กก,150,143,ข้าว,4,8851507000053
สกลชมพู 5กก.,140,122,ข้าว,99,8851507000060
ข้าวช้างสุรินทร์1กก.,47,42,ข้าว,87,8851507000084
ข้าวอูดร 1กก.,35,29.5,ข้าว,99,8851507000107
ต.ทิพย์อุทัย 1กก,45,38,ข้าว,10,8851507000114
หมูเชฟ(ส้ม) 15กก.,395,343,ข้าว,100,8851507000121
ข้าวสกลม่วง 5กก,155,135,ข้าว,8,8851507000183
ข้าวเหนียวเขี้ยวงูใหญ่5กก,175,147,ข้าว,97,8851507000206
ข้าวผสม 55% 15กก.,340,319,ข้าว,100,8851507000237
ข้าวกว้าง1กก,35,27,ข้าว,9,8851507000251
ข้าวดอกบัวคู่5กก,145,133,ข้าว,5,8851507000312
ข้าวสกลม้วง15กก,425,389,ข้าว,2,8851507000343
ข้าวช้างสุรินทร์แดง15กก,545,529,ข้าว,4,8851507000527
ข้าวกว้าง15กก,355,339,ข้าว,99,8851507000541
ช้างสุรินทร์ 15กก.,585,559,ข้าว,8,8851507000572
ช้างสุรินทร์ 5กก.,220,205,ข้าว,91,8851507000589
สกลม้วง1กก,35,30.25,ข้าว,6,8851507000602
ข้าวตราม้า 5กก.,145,132,ข้าว,97,8851507000619
ข้าวสุพรรณ55%,150,139,ข้าว,3,8851507000626
ข้าวตราม้า 15กก,275,249,ข้าว,99,8851507000633
ข้าวตราม้า 1กก.,35,27,ข้าว,97,8851507000640
ข้าวสกลเงิน15กก,395,375,ข้าว,20,8851507000770
สกลเงิน 5กก.,165,137,ข้าว,100,8851507000787
สกลเขียว  5กก.,135,123,ข้าว,100,8851507000848
สกลส้ม5กก,125,105,ข้าว,1,8851507000947
สกลส้ม15ฏฏ,310,289,ข้าว,0,8851507000954
ข้าวส้ม1กก,30,23,ข้าว,12,8851507001050
ข้าวเหนียวงู5กก,155,140,ข้าว,95,8852906080028
ข้าวงูใหม่1ก,35,30,ข้าว,91,8852906080059
ข้าวขวัญใจแดง5กก,160,122,ข้าว,100,8858530002051
ข้าวขวัญใจ5กก,160,137,ข้าว,100,885853000439
ขวัญใจชมภู 5กก.,155,142,ข้าว,8,8858533000439
ข้าวตราเป้า  15กก.,375,361,ข้าว,100,8858533000538
ข้าวตราเป้า 1กก.,35,29,ข้าว,100,8858533001030
ข้าวขวัญใจ 1กก.,37,26,ข้าว,100,8858533001047
ข้าวฝ้ายแดง 1กก,45,38,ข้าว,10,8858533001085
ข้าวตราเป้า5กก,150,136,ข้าว,4,8858533002037
ข้าวขวัญใจแดง5ก,140,122,ข้าว,100,8858533002051
ข้าวหอมมะลิตราดอกดาวเรือง 5กก,140,124,ข้าว,99,8859538308094
ข้าวตรากำไล 1กก,35,26,ข้าว,94,9004102308560
ข้าวกำไล15ก,395,365,ข้าว,100,9771906093007
ร.ข้าวหมา แมว12กก,185,161,ข้าว,10,9786160408399
ข้าวหมูน้อย5กก,145,129,ข้าว,3,9786169004394
ข้าวตราหมูน้อย 5กก.,165,151,ข้าว,100,9789741615285
ข้าวตะวัน14กก,225,205,ข้าว,5,9789744432438
ข้าวตรวกำไล 5กก.,140,123,ข้าว,89,9789748859217
ร.ข้าวเหนียวงู ใหม่,385,365,ข้าว,18,9789749422311
