ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ชวนป๋วยปี่แปกอ 75cc.,70,0,ยา,39,081364361709
น้ำมันเขียว/ขวด,90,72,ยา,12,1915241848481
กาวิสคอนน้ำ ซัสเพนชั้น 10มล.,25,23,ยา,29,50230112
สบู่อาเซปโซ ออริจินัล,22,20,ยา,97,7640129890101
แอนตาซิลเยล240มล,55,38,ยา,6,7851412000019
คอนเกตพลัส,25,20,ยา,17,8850006305263
ไทลินอล 500,15,12,ยา,36,8850007850229
เยนเชียนไวโอเลต,12,10,ยา,-1,8850075011300
มหาหิงค์,45,40,ยา,0,8850075016503
ยากวาด,10,8,ยา,0,8850138010141
แซมบัคเอชอาร์,20,15,ยา,50,8850172242010
3Mเน็กซ์เเคร์ 1/2นิ้ว ,20,15,ยา,30,8850304017905
เมนโทพาสบรรเทาปวด1แผ่น,20,15,ยา,100,8850304081302
ปิดแก้ไข้  3m,45,38,ยา,30,8850304178873
เบตาดีน 15cc.,30,25,ยา,30,8850336100088
สเตร็ปซิล8เม็ด,30,25,ยา,50,8850360039910
สเตร็ปซิล น้ำผิ้งมะนาว 3ม.,15,13,ยา,20,8850360310026
สเตร็ปซิว ออเรนจ์ 3ม.,13,11,ยา,19,8850360320025
สเตร็ปซิล คลู 3ม.,15,13,ยา,19,8850360330048
อีโน รสส้ม 4.3ก.,14,12,ยา,24,8850615100129
อีโนมะนาว 4.3ก.,14,12,ยา,30,8850615100150
เทนโซพล๊าส,1,.5,ยา,200,8850672210014
ยาอมเม็ดน้ำเต้าทอง,10,8,ยา,0,8850698019028
อาลัมมิ้ล240มล,85,58,ยา,19,8850886056125
ยาธาตุตรากิเลน 300cc.,35,30,ยา,20,8851123113199
ยาน้ำอุทัย ตราอุทัยทิพย์ 60cc,45,36,ยา,0,8851123113809
ยาน้ำแก้ไอ ตราโยคี 60มล.,25,12,ยา,19,8851124430608
โป๊ยเซียน ยาดม มาร์คทู,22,16.5,ยา,8,8851447010006
Mymol 500mg ฟ้าขาว,50,38,ยา,12,8851467011403
แอนตาซิล เยล 240มล.,65,45,ยา,18,8851473000019
นีโอติก้า บาล์ม 60ก.,75,70,ยา,30,8851473000156
ซาร่า ลดไข้เด็ก สตรอเบอร์รี่ 60มล.,50,38,ยา,11,8851473000385
ซาร่าน้ำทับทิม 60มล.,45,28,ยา,20,8851473000514
ซาร่าน้ำส้ม 60มล.,50,35,ยา,20,8851473001047
แอนตาซิล เยล 240ml,65,60,ยา,120,8851473001672
ซาร่าองุ่น60มล,45,32,ยา,6,8851473003195
ยาธาตุ ไทยนคร 15ml,10,6,ยา,120,8851473003942
ซาร่า,14,0,ยา,39,8851473006233
ทิฟฟี่ เดย์ 4 เม็ด,12,8,ยา,27,8851473007698
แอนนา ยาคุม  ,30,25,ยา,40,8851473008237
แอนตาซิล ,12,10,ยา,14,8851473008732
ดีคอลเจน พริน ชนิดเม็ด,12,8,ยา,29,8851824336378
ยาธาตุน้ำขาว 50มล.,22,16,ยา,28,8851847000010
ยาธาตุน้ำขาว 200มล.,65,57,ยา,30,8851847000904
ไทเกอร์ปาร์ม,55,48,ยา,20,8851990401023
แบรนด์ ซุปไก่สกัด 65มล.,58,47.6,ยา,19,8852001113768
ยาแก้ไข้ตรางู,30,25,ยา,0,8852086725108
ยาหม่องเล็ก,10,8,ยา,0,8852197110022
ยาม่องตราถ้วยทอง 12ก.,30,25,ยา,25,8852197110046
มายเบซิน ส้ม,12,8.25,ยา,-1,8852294022013
มายเบซิน เลม่อน,10,8,ยา,0,8852294114015
แอร์-เอ็กซ์ มิ้นท์ 80มก.,16,14,ยา,50,8852673000144
แอร์เอ็กซ์,15,10,ยา,50,8852673000151
แอร์-เอ็กซ์ ส้ม 80มก.,16,14,ยา,20,8852673000205
แอร์-เอ็กซ์ มะนาว 80มก.,16,14,ยา,12,8852673000359
ตะขาบ5ตัว,25,20,ยา,50,8852761000063
คาโรโลน,15,20,ยา,-1,8852810184522
ออรีด้า อาร์โอ 3.3กรัม,5,2.5,ยา,24,8852914301306
เสีย 11 ตัว ยาแผ่น,25,21,ยา,199,8852965100477
Cemol 500มก. 100เม็ด,50,38,ยา,12,8852978001150
ยาแก้ไอตราเสือดาว 60มล.,22,15,ยา,20,8853042000109
คาลาไมน์ ตราเสือดาว 120มล.,30,24,ยา,0,8853042001229
เสือดาว เเอลกอฮอล์ 30ml.,10,6,ยา,11,8853042002004
เสือดาว แอลกอฮอล์ 60ml.,12,8,ยา,30,8853042002011
โปวีดีน 15ml,29,17,ยา,49,8853838050011
คาดรามาย-วี โลชั่น,30,22,ยา,40,8853871008253
ออฟซ่าร์ ยาล้างตา 100ml.,45,28,ยา,3,8853965005618
เพนิซิลลิน Tablets,30,18,ยา,38,8854060002380
คลีนเเอนด์เเคร์ นอร์มอลซาไลน์ 500มล.,45,35,ยา,120,8854060615177
ร่มชูชีพ ผงพิเศษ 3gm.,13,10,ยา,36,8854746009993
ยาแก้ปวดฟัน,30,25,ยา,0,8855011000042
ทีซี-มัยซิน,40,24,ยา,11,8855107000017
อมตรีเฮิร์บ8เม็ด,20,15,ยา,50,8855459007023
ยาแก้ไอมะขามป้อม60มล,25,19,ยา,6,8855539010202
ยาน้ำเเก้ไอตรา ไอยรา 60ml.,45,36,ยา,120,8856513010706
ยาเขียวตราใบโพธิ์,14,8,ยา,50,8856971000011
อาปาเช่่,25,18,ยา,99,8857022000134
ยาหอมเด็กในพานทอง240ก,40,30,ยา,3,8857022000141
ยาหอม ตราเด็กในพานทอง 240ก.,30,20,ยา,6,8857022000158
ยาหอมตราเด็กในพานทอง 6ก.,14,10,ยา,29,8857022000165
น้ำมันยา ตรามาร์วิน 70กรัม,70,56,ยา,0,8857022000400
ยาแก้ไอตราอาปาเช่ 60มล.,25,23,ยา,20,8857022000622
ยาเเก้ไอ มะขามป้อม 120cc.,45,40,ยา,120,8857102880069
ยาหมองสมุนไพรเสลดพังพอน ตราสำเภาทอง 50กรัม,25,16,ยา,6,8857102910667
ยาหม่องผสมไพร ตราสำเภาทอง 50กรัม,25,16,ยา,6,8857102910674
BGAS 240ml,55,45,ยา,120,8857109580146
ป็อก  แผงละ20 บาท,45,25,ยา,6,8857121139025
กาโน เม็ดละ 5บาท,60,50,ยา,10,8857121139032
coolbady,20,18,ยา,0,8857121193188
SOS พลาสเตอร์ใส กันน้ำ 10แผ่น,30,25,ยา,4,8857122406096
สตรองค-เเม็กซ์ เกลือเเร่ 25ก.,7,3.4,ยา,44,8857200394222
น้ำมันมวย 30cc.,45,30,ยา,30,8858467000024
อาปราคัวร์,12,0,ยา,39,8858573000215
ซีม่าโรชั้น 15มล.,30,25,ยา,20,8858670600417
ยาสตรีเพ็ญภาค300cc.,48,39,ยา,6,8858736900017
