ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
เอลราเคิล อินเนอร์ เเฮร์ ครีม 30มล.,15,9,ยาสระผมครีมนวด,120,3874801027958
กรีมไบโอ ซุปเปอร์ ทรีทเมนต์ ครีม 30 มล.,15,13,ยาสระผมครีมนวด,50,3874801028030
Head & shoulders150ml,55,45,ยาสระผมครีมนวด,20,4902430194112
เฮด เเอนด์ โชว์เดอร์ คูลเมนทอล450มล,119,108,ยาสระผมครีมนวด,20,4902430281331
รีจอยร์แชมพู120มล,35,20,ยาสระผมครีมนวด,19,4902430339391
เฮดแอนร์โชร์เดอร์140มล,49,44,ยาสระผมครีมนวด,15,4902430372923
เฮดแอนด์โชเดอร์140มล,49,46,ยาสระผมครีมนวด,14,4902430373722
รีจอยส์600มล,129,120,ยาสระผมครีมนวด,20,4902430396547
ครีมนวดรีจ้อย140มล.,35,30,ยาสระผมครีมนวด,30,4902430396608
รีจอยส์(ครีมนวด)70มล.,20,19,ยาสระผมครีมนวด,40,4902430396615
รีจอยส์(ครีมนวด)70มล.,20,19,ยาสระผมครีมนวด,29,4902430396622
รีจอยส์(แชมพู)140มล.,35,30,ยาสระผมครีมนวด,29,4902430396639
แชมพุรีจ้อย140มล.,35,30,ยาสระผมครีมนวด,30,4902430396646
รีจอยส์(แชมพู)70มล.,20,18,ยาสระผมครีมนวด,27,4902430396653
รีจอยส์(แชมพู)70มล.,20,18,ยาสระผมครีมนวด,28,4902430396745
แพนทีน ครีมนวด150มล,35,30,ยาสระผมครีมนวด,100,4902430399425
รีจอยส์600มล,129,120,ยาสระผมครีมนวด,20,4902430399555
รีจอยส์(แชมพู)70มล.,20,18,ยาสระผมครีมนวด,30,4902430399661
รีจอยส์(ครีมนวด)70มล.,20,19,ยาสระผมครีมนวด,30,4902430399722
แพนทีนแชมพู150มล,35,30,ยาสระผมครีมนวด,50,4902430400879
แพนทีนแชมพู150มล,35,30,ยาสระผมครีมนวด,50,4902430400886
เเพนทีน แฮร์ ฟอล 165มล.,65,60,ยาสระผมครีมนวด,19,4902430400978
