ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ดาร์ลี่เอนนาเมลโพรเทค,47,40,ยาสีฟัน,0,4891338021098
ดาร์ลี่40ก,13,10,ยาสีฟัน,100,4891338028561
ดาร์ลี่เกลือ,27,25,ยาสีฟัน,-2,4891338028882
ดาร์ลี่75ก,27,25,ยาสีฟัน,50,4891338034517
โคโคโมยาสีฟัน อัลตร้า ชิลด์40ก.,20,15,ยาสีฟัน,100,48913380345178850002
คอลเกต โททอล ดีพ คลีน 80ก.,55,47,ยาสีฟัน,6,6920354806032
คอลเกต2-5ปี,25,22,ยาสีฟัน,100,6920354817748
คอลเกต ไวท์40ก,30,25,ยาสีฟัน,50,6920354820335
คอลเกตชาร์โคลครีน100ก.,60,55,ยาสีฟัน,100,6920354825880
ซอลส์ออริจินัล40ก,13,10,ยาสีฟัน,50,8850002000254
โคโดโม 40ก,25,20,ยาสีฟัน,100,8850002008663
โคโดโม40กรัม,25,19,ยาสีฟัน,30,8850002008670
ซอลส์90กรัม,35,30,ยาสีฟัน,25,8850002008915
ซอลส์40ก,15,12,ยาสีฟัน,97,8850002008946
ซอลส์90กรัม,35,30,ยาสีฟัน,23,8850002008953
ซอลส์เฟรช160กรัม,45,40,ยาสีฟัน,0,8850002008960
โคโดโม40กรัม,20,17,ยาสีฟัน,19,8850002015203
โคโดโม40กรัม,20,17,ยาสีฟัน,20,8850002015227
โคโดโมะกลิ่นองุ่น,26,21,ยาสีฟัน,0,8850002015241
คอลเกตรสสตรอเบอร์รี่40ก.,19,15,ยาสีฟัน,100,88500020152416920354
ซอลส์40ก,13,10,ยาสีฟัน,50,8850002015760
ซอลส์90กรัม,35,24,ยาสีฟัน,16,8850002015784
โคโดโม40กรัม,25,20,ยาสีฟัน,18,8850002016002
ซอลส์90ก,35,30,ยาสีฟัน,97,8850002031296
คอลเกตยาสีฟัน เฟรชคูลมินท์ 150กรัม,60,50,ยาสีฟัน,117,8850006202012
คอลเกต90กรัม,27,25,ยาสีฟัน,17,8850006203019
คอลเกต เเคลเซียม 35กรัม,16,13,ยาสีฟัน,15,8850006204283
คอลเกต รสยอดนิยม 150ก.,60,50,ยาสีฟัน,112,8850006232019
คอลเกต90กรัม,27,25,ยาสีฟัน,17,8850006233016
คอลเกต ยอดนิยม 35ก,16,13,ยาสีฟัน,95,8850006234280
คอลเกตยาสีฟัน ริ้วใสเย็นสดชื่น140g,60,52,ยาสีฟัน,6,8850006272015
คอลเกต80กรัม,27,25,ยาสีฟัน,19,8850006273012
คอลเกต35กรัม,13,11,ยาสีฟัน,20,8850006274019
คอลเกตฟรุตตี้,60,55,ยาสีฟัน,20,8850006305195
คอลเกต100มล,25,20,ยาสีฟัน,20,8850006305812
คอลเกตพลักซ์250มล.,65,60,ยาสีฟัน,100,8850006306000
คอลเกตพลักซ์500ก.,65,60,ยาสีฟัน,100,8850006306017
คอลเกต 500มล,79,70,ยาสีฟัน,19,8850006306260
คอลเกต40กรัม,25,20,ยาสีฟัน,19,8850006314012
คอนเกตไวท์นิ่ง,55,50,ยาสีฟัน,0,8850006320662
คอลเกตเกลือสมุนไพร150ก.,60,50,ยาสีฟัน,98,8850006322482
คอลเกต เกลือสมุนไพร35ก.,16,13,ยาสีฟัน,10,8850006322512
คอลเกต80ก,27,25,ยาสีฟัน,100,8850006324769
คอลเกต35กรัม,19,17,ยาสีฟัน,20,8850006325612
คอลเกลโทเทล150ก,70,65,ยาสีฟัน,99,8850006325636
คอลเกต มินท์ 30กรัม,15,13,ยาสีฟัน,15,8850006325827
คอลเกต60กรัม,35,30,ยาสีฟัน,19,8850006326862
คอลเกตเซต,55,50,ยาสีฟัน,100,8850006332566
คลอเกต40กรัม,25,20,ยาสีฟัน,20,8850006340844
คอลเกตโททอล ชาร์โคลดีพคลีน 80กรัม,55,47,ยาสีฟัน,5,8850006341339
คอนเกต,47,42,ยาสีฟัน,100,8850006341421
คอนเกต,47,42,ยาสีฟัน,50,8850006341438
คอลเกต140กรัม,47,45,ยาสีฟัน,19,8850006341445
