ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
3พลังแจ๋ว1000กรัม,45,39,ถุงพลาสติก,-8,8850002022225
หลอดงอ คละสี,17,13,ถุงพลาสติก,20,8855051032256
ถุงเงิน-หูหิ้ว 8X16,40,32,ถุงพลาสติก,12,8857125978156
ถุงร้อน ตราปู 4*7,40,35,ถุงพลาสติก,9,8858678301125
ถุงหิ้วใส 6*14,40,34,ถุงพลาสติก,12,8858678301408
ถุงร้อนใส 3*5,20,16,ถุงพลาสติก,11,8858678301484
ถุงร้อนใส ตราปู 6*11,45,36,ถุงพลาสติก,12,8858678301583
ถุงหิ้วใส 6*14,45,39,ถุงพลาสติก,12,8858678307189
7/15,45,39,ถุงพลาสติก,0,8858678307257
ถุงหิ้ว6*14,45,38,ถุงพลาสติก,31,8858678308018
ถุงหิ้ว7*15,45,39,ถุงพลาสติก,38,8858678308131
ปู ถุงหิ้วบาง 12*20,45,35,ถุงพลาสติก,120,8858678308254
ถุงหิ้วบาง Hero 9*18,40,35,ถุงพลาสติก,12,8858773954998
Hero ถุงหิ้ว 7*15 นิ้ว บาง,45,37,ถุงพลาสติก,12,8858773997865
Hero ถุงหิ้ว 9*18 นิ้ว บาง,45,37,ถุงพลาสติก,12,8858773997889
ขันมีมึอจับ,20,15,ถุงพลาสติก,6,99999
ขันน้ำ,20,15,ถุงพลาสติก,14,999999
