ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
กระดาษลายดอกไม้,10,8,กระดาษทิชชู,10,6972129730486
ทิชชูเปียก,15,10,กระดาษทิชชู,10,6972763790129
โมเดส สปีริต5ชิ้น,12,10,กระดาษทิชชู,50,8850007372820
กระดาษเช้ดหน้าเลดี้สก้อตตื,45,40,กระดาษทิชชู,0,8850033112308
คลีเน็กซ์ 140แผ่น,45,38,กระดาษทิชชู,120,8850039719112
คลีแม็กซ์10แผ่น,3,2,กระดาษทิชชู,40,8850039720019
เซลล็อกซ์1ม่วน,10,8,กระดาษทิชชู,36,8850046010011
เซลล็อกซ์,45,40,กระดาษทิชชู,40,8850046070121
Zilk จัมโบ กระดาษทิชชู 6ม้วน,50,44,กระดาษทิชชู,120,8850046111060
ซิลค์ 120แผ่น,35,30,กระดาษทิชชู,39,8850046222100
Zilk กระดาษเช็ดหน้า 120แผ่น,35,30,กระดาษทิชชู,10,8850046272105
กระดาษเช้ดหน้า,45,40,กระดาษทิชชู,0,8850046291106
cellox,10,8,กระดาษทิชชู,10,8850046311101
เบลล์กระดาษเช็ดหน้า,25,20,กระดาษทิชชู,50,8850046338351
MaxMo กระดาษอเนกประสงค์ 2ม้วน,60,55,กระดาษทิชชู,120,8850046422715
เบบี้เลิฟ M,20,16,กระดาษทิชชู,9,8850709761120
เบบี้เลิฟ L,20,16,กระดาษทิชชู,20,8850709761137
เบบี้เลิฟ  XL,20,16,กระดาษทิชชู,19,8850709761144
เบบี้เลิฟ M,75,62,กระดาษทิชชู,5,8850709762127
เบบี้เลิฟ XL,75,62,กระดาษทิชชู,20,8850709762141
มามี่โพโค M,20,18,กระดาษทิชชู,100,8851111418343
มามี่โพโคxL,20,18,กระดาษทิชชู,100,8851111420285
ลอรีเอะคูล3ชิ้น,16,12,กระดาษทิชชู,50,8851818729742
วีแค100ก้าน,10,8,กระดาษทิชชู,50,8851973053874
ดีนี้  สำลี200ก้าน,20,15,กระดาษทิชชู,50,8851989060088
ดีนี่ สำลีก้านจิ๋ว 100ก้าน,15,10,กระดาษทิชชู,49,8851989060095
สำลีก้าดีนี่,25,20,กระดาษทิชชู,19,8851989060118
วีแคร์สำลีแผ่น,30,25,กระดาษทิชชู,50,8854588000158
Nano so-cute กระดาษเช็ดหน้า 150 แผ่น,25,20,กระดาษทิชชู,50,8855805068791
เเจ็กซ์ ลาเวนเดอร์ 50 แผ่น,25,20,กระดาษทิชชู,117,8857125108591
นาริป็อปอัพ,10,8,กระดาษทิชชู,42,8858678452186
cellox,10,8,กระดาษทิชชู,10,88586784521868850046
เอลิส 5ชิ้น,25,20,กระดาษทิชชู,20,8858947831063
วีวี เฟรชชี่ กระดาษชำระ,20,17,กระดาษทิชชู,120,8858956700022
คุมิเช็ดหน้า,25,20,กระดาษทิชชู,43,8859311599046
Kuma เช็ดหน้าคุมะ,30,20,กระดาษทิชชู,43,8859311599282
กระดาษทิชชุ่มว้น,25,20,กระดาษทิชชู,0,8859311599671
นีนาทิชชู6ม้วน,30,20,กระดาษทิชชู,17,8859512400110
NINAกระดาษเช็ดมือ250แผ่น,45,38,กระดาษทิชชู,10,8859512400622
MIKIทิชชู170แผ่น,25,20,กระดาษทิชชู,48,8859515701429
ซีโลลี้ กระดาษทิชชู่ 170แผ่น,20,13.8,กระดาษทิชชู,10,8869530223455
ซีโลลี้ กระดาษทิชชู่ 5*170แผ่น,90,69,กระดาษทิชชู,2,8869530223462
โจลี่ซอฟท์,25,21,กระดาษทิชชู,19,8992759124019
nice,30,25,กระดาษทิชชู,10,8992759124187
