ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
กะทิทวีรส250มล,22,20,กระทิ,100,8850016880644
กะทิอัมผวา250มล,25,21,กระทิ,16,8850161166136
กะทิชาวเกาะ1000มล.,82,77,กระทิ,3,8850367100026
กระทิชาวเกาะ500มล,49,47,กระทิ,3,8850367100118
ชาวเกาะอบเทียน1000มล,67,55,กระทิ,50,8850813101119
ชาวเกาะหัวกระทิ250มล,27,22,กระทิ,50,8850813102000
กะทิ ชาวเกาะ 500มล.,45,39,กระทิ,118,8850813120073
กะทิชาวเกาะ250มล,27,20,กระทิ,96,8850813120196
กะทิ ชาวเกาะ 1000มล.,69,67,กระทิ,118,8850813120219
กระทิอร่อยดี 250มล,28,25,กระทิ,72,8851613101378
กะทิ อร่อยดี 500มล.,47,44,กระทิ,177,8851613101385
กะทิอร่อยดี1000มล.,80,76,กระทิ,8,8851613101392
กะทิอร่อยดี150มล.,20,17.5,กระทิ,8,8851613106106
อร่อยดีอบควัน250มล,30,28,กระทิ,95,8851613106472
กะทิอร่อยดีอบควันเทียน,84,81,กระทิ,20,8851613106489
เรียวไทย250มล,25,19,กระทิ,98,8858135003906
เรียวไทย1000มล,65,59,กระทิ,98,8858135003913
กะทิเรียวไทย500มล,38,32,กระทิ,100,8858135005306
พร้าวหอม กะทิ อบควันเทียน 250มล.,29,25,กระทิ,6,8859568700660
