ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ไบกอน600มล,95,85,กำจัดแมลง,12,8850175067832
ไบกอน 38 สูตรประสิทธิภาพ 300มล,75,64,กำจัดแมลง,52,8850175067214
ไบกอน ลาเวนเดอร์,25,18,กำจัดแมลง,104,8850175067283
ไบกอน,75,62,กำจัดแมลง,6,8850175067313
ไบกอน 23 600 มล.,119,91,กำจัดแมลง,100,8850175067337
ไบกอน300มล,65,53,กำจัดแมลง,3,8850175067498
ไบกอน300มล,60,52,กำจัดแมลง,50,8850175067535
ไบกอน300มล,65,60,กำจัดแมลง,20,8850175067672
ไบกอน,75,65,กำจัดแมลง,19,8850175067818
ไบกอน กลิ่นลาเวนเดอร์ 600มล.,119,91,กำจัดแมลง,3,8850175067832
ไบกอน,75,65,กำจัดแมลง,20,8850175067993
ไบกอน เลมอนนีน 600มล.,109,92.5,กำจัดแมลง,1,8850175068013
ไบกอน 40 กลิ่นดี-เลมอน 300มล,75,64,กำจัดแมลง,50,8850175068068
ไบกอน ยูคาลิปตัส 600มล.,109,92.5,กำจัดแมลง,120,8850175068167
ไบกอน ยูคาลิปตัส,25,15,กำจัดแมลง,14,8850175068228
ไบกอน300มล,65,53,กำจัดแมลง,20,8850175068518
ไบกอน 23 ฟลอรัล 250มล.,69,51,กำจัดแมลง,-1,8850175069065
ไบกอน กลิ่นเฟรชฟลอรัล 520มล.,109,87,กำจัดแมลง,4,8850175069089
ไบกอน ดี-เลมอนนีน 250มล.,69,57,กำจัดแมลง,10,8850175069140
ไบกอน หัวสเปร์ฉีดได้ในวงกว้าง 250มล.,69,55.2,กำจัดแมลง,3,8850175069188
ไบกอน ไร้สารเเต่งกลิ่น 520 มล.,109,79,กำจัดแมลง,1,8850175069201
ไบกอน ยูคาลิปตัส 250มล.,69,57,กำจัดแมลง,8,8850175069225
ไบกอน150ก,20,18,กำจัดแมลง,100,8850175071129
อาท300มล,55,50,กำจัดแมลง,50,8850273102107
อาท300มล,55,45,กำจัดแมลง,4,8850273103111
อาท600มล,115,104,กำจัดแมลง,47,8850273103210
อาท เจ็ท เทอร์ไมท์4 กำจัดปลวก 300มล.,55,50,กำจัดแมลง,116,8850273105313
อาท600มล,75,55,กำจัดแมลง,21,8850273105337
อาท ลาเวน300มล,55,45,กำจัดแมลง,3,8850273111017
อาท100มล.,55,50,กำจัดแมลง,20,8850273111109
อาท เจ็ท พิงค์ 300มล.,55,50,กำจัดแมลง,20,8850273115107
อาท,55,50,กำจัดแมลง,20,8850273115510
อาท,55,50,กำจัดแมลง,20,8850273116104
อาทแร็ทกรู,40,29,กำจัดแมลง,25,8850273147214
อาท,20,18,กำจัดแมลง,50,8850273158081
คิงส์สเตล่า350มล,85,75,กำจัดแมลง,9,8850299000227
ชิลด์ทอกซ์300มล,55,46,กำจัดแมลง,50,8850360031167
ชิลด์ท้อกช์300มล,60,50,กำจัดแมลง,6,8850360091024
ชิลด์ท้อกซ์ เพาเวอร์การ์ด 300 ml,55,50,กำจัดแมลง,100,8850360091130
ซิลด์ท้อกซ์600มล,75,55,กำจัดแมลง,20,8850360091154
ATM กำจัดกลิ่น45ก,12,9.5,กำจัดแมลง,-1,8850535200664
เซนไดร์ท์4เลมอลมิน,55,45,กำจัดแมลง,5,8851495001407
เซนไดร์ 1 300มล.,75,64,กำจัดแมลง,20,8851495001421
เชนไดร์300มล,50,45,กำจัดแมลง,50,8851495003111
เซนไดร้ท์ 5 ไร้สารเเต่งกลิ่น 300มล.,55,49,กำจัดแมลง,37,8851495004507
เซนไดร์,55,49,กำจัดแมลง,39,8851495007249
เชนไดร้ท์ 3 ไร้กลิ่น 300มล,72,66,กำจัดแมลง,6,8851495008277
เซนไดร์ 7 ลาเวนเดอร์ 300มล,72,66,กำจัดแมลง,1,8851495011079
เชนไดร้ท ยาจุด,20,12,กำจัดแมลง,20,8851495016685
เชนไดร์  ยาจุด,20,12,กำจัดแมลง,20,8851495016715
เชนไดร้ท์ 4 กลิ่นลาเวนเดอร์ 300มล.,55,50,กำจัดแมลง,11,8851495017866
ช้างเวป,20,18,กำจัดแมลง,50,8851688771049
ก.ย15,5,3.5,กำจัดแมลง,20,8851826061117
กย,5,4,กำจัดแมลง,50,8851826063111
ก.ย.15,20,18,กำจัดแมลง,53,8851826064118
กย,5,4,กำจัดแมลง,50,8851826067119
ก.ย.,20,18,กำจัดแมลง,46,8851826068116
ก.ย.15ลาเวนเดอร์,5,4,กำจัดแมลง,17,8851826069113
ห่านฟ้า 13,25,19,กำจัดแมลง,14,8852526600019
ห่านฟ้า กลิ่นลาเวนเดอร์,25,15,กำจัดแมลง,52,8853118000026
เรนเจอร์,20,18,กำจัดแมลง,50,8858786256065
เรนเจอร์600มล,65,53,กำจัดแมลง,5,8858786256393
แรงเจอร์300มล,50,55,กำจัดแมลง,6,8858786256508
รถถัง ชอล์กกำจัดมด ,5,3,กำจัดแมลง,120,8859633300252
โลชั่นทากันยุง,6,4,กำจัดแมลง,0,8992772051026โ
ก.ย.15เฟรช,6,4,กำจัดแมลง,20,8992772051040
