ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
มอคโคน่า เอสเปรสโซ่3in1 สีเขียว,20,16,กาแฟ,6,00110
โอวัลติน18กรัม,5,4,กาแฟ,20,7612100061411
คอฟฟี่เมตมิลค์,38,30,กาแฟ,20,8801055708178
เนสกาแฟ เเบล็ค โรสต์ 70กรัม,85,69,กาแฟ,3,8850011053739
เนสกาแฟ เรดคัฟ+ คอฟฟีเมต ,65,58,กาแฟ,120,8850011060539
เนสกาแฟ100ซอง,360,281,กาแฟ,18,8850011060799
เนสกาแฟ100ซอง,295,275,กาแฟ,10,8850011060812
Nescafe Black Roast 12.2g,5,4,กาแฟ,25,8850011061017
เนสกาแฟ เเบล็ค โรสต์ 329.4กรัม,125,103,กาแฟ,119,8850011061024
อิ่มดี รสช็อกโกแลต,5,4,กาแฟ,7,8850011072990
เนส เอสเรส์โซ100ซอง,360,281,กาแฟ,5,8850011076776
โอวัลติน มอลต์ 100 กรัม,40,32,กาแฟ,4,8850086111006
โอวัลติน31กรัม,8,7.3,กาแฟ,11,8850086130359
โอวัลติน150กรัม,28,20,กาแฟ,19,8850086131509
โอวัลตินซอยย์,5,4,กาแฟ,20,8850086150203
โอวัลติน31ก36ชอง,130,119,กาแฟ,50,8850086161261
โวัลติน29ก12ซอง,95,88,กาแฟ,2,8850086164903
โอวันติน 3in1 16ซอง,110,98,กาแฟ,115,8850086165955
คอฟฟี่เมต420ก,75,62,กาแฟ,20,8850124006103
ตราเนสกาแฟ เบลนด์แอนด์บรู เอสเปรสโซ โรสต์ 15.1กรัม,5,4,กาแฟ,25,8850124012869
เนสกาแฟ คั่วกลาง เรด 80กรัม,85,60,กาแฟ,3,8850124022981
คอฟฟีเมต ครีมเทียม 200 กรัม,45,34,กาแฟ,3,8850124033055
ตราเนสกาแฟ เบลนด์แอนด์บรู ริช อโรมา 17กรัม,5,3.5,กาแฟ,-18,8850124034519
ครีมเทียมคาเนชั่น,27,25,กาแฟ,20,8850124070999
คอฟฟีเมต ครีมเทียม 100 กรัม,25,20,กาแฟ,3,8850124075901
Nescafe ริช อโรมา 60ซอง,210,180,กาแฟ,116,8850124083081
Nescafe อาราบิก้า โรบัสต้า 60ซอง,240,180,กาแฟ,119,8850124083111
เนสกาเเฟ ลาเต้ คาราเมล 20ซอง,110,98,กาแฟ,120,8850125000469
เนสกาเเฟ ลาเต้ มิลค์ที 20ซอง,110,98,กาแฟ,120,8850125000537
Nescafe เอสเพรสโซ่ คั่วเข้ม 80กรัม,85,60,กาแฟ,3,8850125073296
เนสวีต้า สูตรน้ำตาลน้อย 6ซอง,50,44,กาแฟ,30,8850125075481
เนสเลธัญพืช,5,4,กาแฟ,23,8850125077911
อิ่มดี15ซอง,65,56,กาแฟ,5,8850125077935
ไมโลซอง16แถม2,97,90,กาแฟ,4,8850125078345
เนส อโรมา 90ซอง,260,242,กาแฟ,50,8850125078383
ตราเนสกาแฟ เบลนด์แอนด์บรู สูตรน้ำตาลน้อย 15กรัม,5,4,กาแฟ,37,8850125078918
เนสกาแฟ น้ำตาลน้อย B&B 27*45g.,120,103,กาแฟ,1,8850125078925
เอสเปรโซโรสต์ 90ซอง,260,242,กาแฟ,20,8850125081697
ไมโลแพ็ค,90,85,กาแฟ,20,8850125082311
ตราเนสกาแฟ เบลนด์แอนด์บรู สูตรไม่มีน้ำตาล 12.2กรัม,5,4,กาแฟ,0,8850125087743
ตราเนสกาแฟ อเมริกาโน่ แคลอรี่ต่ำ 9.6กรัม,5,4,กาแฟ,42,8850125088115
เนสกาแฟ อเมริกาโน่ 25ซอง,120,89,กาแฟ,3,8850125088139
ไมโล ซีเรียว 60g,25,20,กาแฟ,4,8850125088207
ไมโลซีเรียว,80,73,กาแฟ,5,8850125088214
เนสกาแฟ อาราบิก้า&โรบัสต้า 27ซอง,120,103,กาแฟ,1,8850125091665
เนสวีต้ารสดั้งเดิม 25มล,10,8,กาแฟ,45,8850127003499
เนสวีต้า รสดั้งเดิม 14ซอง,110,100,กาแฟ,119,8850127003505
เนสวีต้า รสดังเดิม 6ซอง,50,44,กาแฟ,30,8850127003529
เนสวีต้า 25มล,10,8,กาแฟ,50,8850127003567
Nescafe ริช อโรมา 16x30ซอง กรัม,120,103,กาแฟ,2,8850127004397
เนสกาแฟ เอสเปสโซ่ 15.1X27ซอง,120,103,กาแฟ,3,8850127004410
ไมโล22กรัม,5,4,กาแฟ,30,8850127004564
เนสเล่ชามิกซ์เบอรร์รี,7,4,กาแฟ,15,8850127006728
เนสเล่ชามะนาว,7,5,กาแฟ,16,8850127007176
ไมโล ช็อคโกเเลตมอลต์ 15ซอง,110,98,กาแฟ,116,8850127009330
ไมโล140กรัม,35,28,กาแฟ,30,8850127010077
ไมโล30กรัม,8,6,กาแฟ,15,8850127044003
เนสเล่ชานมเย็น,10,8,กาแฟ,28,8850127061598
ชานมเย็น13ซอง,85,73,กาแฟ,5,8850127061604
ซีเลียวอาหารเช้า,80,73,กาแฟ,4,8850127067644
เนสกาแฟ25กรัม,20,15,กาแฟ,30,8850128030104
เนสกาแฟ45กรัม,45,25,กาแฟ,27,8850128030111
นมข้นหวานมะลิ,25,20,กาแฟ,20,8850151951018
มะลิ นมข้นหวาน 170ก.,28,22,กาแฟ,5,8850151951377
มะลิ นมข้นหวาน 355ก.,30,26.25,กาแฟ,14,8850151961116
นมข้นฟอลคอน1000มล.,50,45,กาแฟ,48,8850188803083
ครีมเทียมฟอลคอน,20,15,กาแฟ,48,8850188803090
เบอร์ดี่ แบล็ค180มล,16,12.83,กาแฟ,24,8850250000495
เบอดี้แดง16.5กรัม,5,3,กาแฟ,22,8850250002482
เบอดี้เหลือง16.5กรัม,4,3,กาแฟ,30,8850250003809
เบอดี้เขียว16.5กรัม,4,3,กาแฟ,23,8850250004165
เบอร์ดี้ โรบัสต้า 15กรัม แพค 27ซอง,115,87,กาแฟ,3,8850250007425
