ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
SnapLock กล่องเก็บอาหาร No.307,15,9,พลาสติก,120,1101600281338
KF94 หน้ากาก,20,18,พลาสติก,120,2021311600001
สเต็ดเลอร์ ยางลบ neon ,5,3,พลาสติก,120,4007817135761
Staedtler ปากกา สีดำ ,5,4,พลาสติก,120,4007817425077
สเต็ดเลอร์ กาวเเท่ง 8กรัม,20,16,พลาสติก,119,4007817920107
CCC พลาสติกบรรจุอาหาร ,25,20,พลาสติก,120,44255610361
เเก้วเก็บอุณหภูมิ 30oz./คละสี,120,100,พลาสติก,5,6460488886697
Bliss กุญเเจเงิน-50,85,70,พลาสติก,120,6895452185559
Bliss กุญเเจทอง-30,35,28,พลาสติก,120,6895452185634
Bless กุญเเจทอง-50,85,70,พลาสติก,120,6895452185757
Bliss กุญเเจทอง-50,85,70,พลาสติก,120,6895452185856
Speed เครื่องเย็บกระดาษ SP-10,35,26,พลาสติก,120,6931043391012
AM Boss HB-065 ปืนจัดเเก๊ส ,25,17,พลาสติก,12,6938564200250
C.P.D.M. ธูปกันยุ่ง  ,20,7.2,พลาสติก,155,8849301080012
วิซฟลอรัล,45,40,พลาสติก,20,8850092102210
วิซแฟรช,45,40,พลาสติก,20,8850092104214
วิช900มล,60,50,พลาสติก,50,8850092104412
วิซแพชชั่น,45,40,พลาสติก,20,8850092106119
วิช800มล,55,50,พลาสติก,50,8850092106218
 มิสเตอร์มัสเซิล,45,40,พลาสติก,20,8850175004134
 มิสเตอร์มัสเซิล,45,40,พลาสติก,10,8850175004172
ซีเล็ค,20,16,พลาสติก,19,8850468208041
ซีเล็ค,17,10,พลาสติก,18,8850468208836
ซากูระ โกลด์ 20กรัม,10,7,พลาสติก,120,8850805000017
แอล-แรป ฟิล์มพราสติก 30*36*9,20,16,พลาสติก,120,8850919724557
FK-1006 กล่องเก็บอาหาร 4 ช่อง,25,20,พลาสติก,120,8851201003060
ตราม้า ลวดเสียบกระดาษ No.1,10,6,พลาสติก,120,8851552132006
Mt ริบบิ้น สีขาว 50หลา,15,11,พลาสติก,10,8851673208215
Mt ริบบิ้น สีเหลือง 50หลา,15,11,พลาสติก,11,8851673208239
Mt ริบบิ้น สีทอง 50หลา,15,11,พลาสติก,120,8851673208246
Mt ริบบิ้น สีชมพูอ่อน 50หลา,15,11,พลาสติก,120,8851673208277
Mt ริบบิ้น สีบานเย็น 50หลา,15,11,พลาสติก,120,8851673208291
Mt ริบบิ้น สีม่วง 50หลา,15,11,พลาสติก,120,8851673208307
Mt ริบบิ้น สีฟ้าอ่อน 50หลา,15,11,พลาสติก,120,8851673208314
Mt ริบบิ้น สีเขียวเข้ม 50หลา,15,11,พลาสติก,120,8851673208345
Mt ริบบิ้น สีดำ 50หลา,15,11,พลาสติก,120,8851673208352
มาจิคลีน400มล.,25,20,พลาสติก,20,8851818380745
ตราช้าง ลวดเย็บกระดาษ เบอร์ 10 ,10,6,พลาสติก,120,8851907138035
elfen LISO ปากกาน้ำเงิน ,5,4,พลาสติก,10,8851907236410
ชีนเเน่ ลิป เเคร์ F2 2 กรัม,25,19,พลาสติก,120,8852525771147
arson ถุงเท้า 9-11 น้ำตาล,35,28,พลาสติก,120,8852526027328
อีพีพี ถ้วยกระดาษ 6.5oz.,45,40,พลาสติก,120,8855051020666
อีพีพี ถ้วยกระดาษ ไม่พิมพ์ลาย 6.5oz.,45,40,พลาสติก,120,8855051070692
น้ำอบไทยเเก่นจันทร์ 80cc.,15,10.83,พลาสติก,12,8857200209823
K platinum ดินน้ำมัน ,5,4,พลาสติก,120,8857200247139
ซีเชฟ ยำรสเผ็ด155ก,17,15,พลาสติก,12,8858463002909
ถุงร้อน4.5X7,40,35,พลาสติก,40,8858678301132
ซีเชพรสปลาร้า,20,15,พลาสติก,18,8858764402163
ถ้วยน้ำดืม PP 10oz.,20,15,พลาสติก,120,8858802802030
ถ้วยน้ำดืม PP 12oz.,20,15,พลาสติก,120,8858802802245
รุ้งอรุน155ก,10,8,พลาสติก,50,8859057200039
YMR'S ถุงเท้าคละลาย No.4,20,17,พลาสติก,120,8859218208034
ถุงเท้า คละลาย No.4,20,17,พลาสติก,120,8859218209185
ชิปปี้ กระดาษเช็ดหน้า 200แผ่น,10,7,พลาสติก,120,8859224301156
ART กล่องนัมเบอร์ 4401,25,20,พลาสติก,120,8859411901442
Dorami กล่องบรรจุอาหาร EPL-00684,35,29,พลาสติก,120,8859469714964
ซาโนบิ ตะเกียบไม้ไผ่ ,20,14.75,พลาสติก,5,8859474715574
เเมนซอง ชิค คัลเลอร์ เนล โพลิช,25,18,พลาสติก,120,8859710500018
ปืนจุดเเก๊ส MOTO ,20,15,พลาสติก,119,8985634060809
พลาสติกบรรจุอาหาร คละเเบบ,25,20,พลาสติก,120,8988200010321
นุชจรี-โบว์ น้ำเงิน,25,19,พลาสติก,120,99380527
Bliss กุญเเจทอง-40,45,38,พลาสติก,120,99412004
Bliss กุญเเจทอง-40,45,36,พลาสติก,120,99412010
เซอร์เวย์ ขวดโหล+ช้อน เบอร์95,25,20,พลาสติก,120,9980001230095
