ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
น้ำตาลทรายขาว 1กก.,30,27,เครื่องปรุงอาหาร,117,1101600280003
ขิงดองตรามังกร,10,8,เครื่องปรุงอาหาร,40,110163710521
มะนาวดองตรามังกร,10,8,เครื่องปรุงอาหาร,39,110163711009
กะปิแท้แม่เกษร,38,33,เครื่องปรุงอาหาร,98,1427911612501
น้ำตาลมะพร้าว,20,15,เครื่องปรุงอาหาร,40,43251101
กระปิแม่เกษร,20,15,เครื่องปรุงอาหาร,100,5200886611009
กระเทียมเจียวสำเร็จรูป,12,10,เครื่องปรุงอาหาร,11,6291188001109
น้ำดีวัวแท้,25,20,เครื่องปรุงอาหาร,30,73070908
น้ำตาลโชคสุชาวดี,22,19,เครื่องปรุงอาหาร,290,76020105
น้ำตาลโชคสุชาวดี,37,33,เครื่องปรุงอาหาร,29,76020107
น้ำตาลกรวด,35,30,เครื่องปรุงอาหาร,30,76060102
น้ำปลาร้ากาฬสิน,15,10,เครื่องปรุงอาหาร,20,79130662
เกลือเม็ดตราพีพี,15,10,เครื่องปรุงอาหาร,20,79131746
บลูเเบนด์ เนยเทียม รสหวาน 150 ก.,48,42,เครื่องปรุงอาหาร,120,8719200183780
โลโบ้ซอสปรุงผัดไทย,25,20,เครื่องปรุงอาหาร,40,8850030003074
เกล็กขนมปัง,30,25,เครื่องปรุงอาหาร,0,8850030119911
ผักกาดดอง91ก,20,18,เครื่องปรุงอาหาร,100,8850035000221
ยำเกี่ยมฉาย,20,15,เครื่องปรุงอาหาร,40,8850035020212
กาดดอง หวาน91ก,20,15,เครื่องปรุงอาหาร,48,8850035030211
กาดดองสามรส91ก,20,15,เครื่องปรุงอาหาร,100,8850035030419
นกพิราบคู่,15,10,เครื่องปรุงอาหาร,40,8850035310139
น้ำปลาผสม พันท้ายนรสิงห์,20,18,เครื่องปรุงอาหาร,6,8850058001670
น้ำจิ้มสุกี้พันท้าย330กรัม,55,50,เครื่องปรุงอาหาร,95,8850058003346
พันท้ายกวางตุ้ง830มล,96,91,เครื่องปรุงอาหาร,198,8850058003728
น้ำจิ้มไก่ตราพันท้าย220กรัม,36,30,เครื่องปรุงอาหาร,40,8850058005777
พันท้าย800มล,86,81,เครื่องปรุงอาหาร,49,8850058007788
พันท้าย330มล,50,45,เครื่องปรุงอาหาร,46,8850058007801
ปรุงทิพย์ 500กรัม,10,8,เครื่องปรุงอาหาร,37,8850069010036
ปรุงทิพย์150กรัม,50,3,เครื่องปรุงอาหาร,40,8850069010241
ปรุงทิพย์ เกลือ 120ก.,12,9,เครื่องปรุงอาหาร,6,8850069011019
เกลือปรุงทิพย์ 330ก.,20,13,เครื่องปรุงอาหาร,50,8850069011026
ไวไวผัดฉ่า60ก30ซอง,180,173,เครื่องปรุงอาหาร,6,8850100127037
วุ้นเส้นกิเลนคูั500ก,20,13.25,เครื่องปรุงอาหาร,8,8850122103132
แม็กกี้ นางรม แพ็ค2,45,35,เครื่องปรุงอาหาร,50,8850124000675
คาเนชั่น,28,25,เครื่องปรุงอาหาร,0,8850124037916
แม็กกี้เจ100มล.,22,15,เครื่องปรุงอาหาร,12,8850124065407
แม็กกี้200มล.,35,20,เครื่องปรุงอาหาร,13,8850124065414
แม็กกี้สูตรผัดกลมกล่อม680มล.,40,35,เครื่องปรุงอาหาร,19,8850124065421
แม็กกี้เจ200มล.,20,15,เครื่องปรุงอาหาร,15,8850124092823
แม็กกี้ซีอิ๋วขาว680มล.,35,30,เครื่องปรุงอาหาร,30,8850125078758
แม็กกี้สูตรเข้มเข้าเนื้อ680มล.,45,35,เครื่องปรุงอาหาร,29,8850125078949
แม็กกี้ซีอิ๊วขาว200มล.,20,15,เครื่องปรุงอาหาร,30,8850125078963
แม็กกี้สูตรเข้ม200มล.,22,15,เครื่องปรุงอาหาร,23,8850125078994
แท็กกี้เซตสุดคุ้ม,49,40,เครื่องปรุงอาหาร,30,8850125085411
แม็กกี้ซอสหอย220มล.,25,19.71,เครื่องปรุงอาหาร,28,8850127069112
กระเทียมดอง280ก,55,46,เครื่องปรุงอาหาร,46,8850134301113
กระเทียมดองตราแม่จินต์,7,5,เครื่องปรุงอาหาร,30,8850134301540
คนอร์ ซุปรสไก่ก้อน,6,4,เครื่องปรุงอาหาร,118,8850144206378
คนอร์หมู20ก,6,4,เครื่องปรุงอาหาร,100,8850144206415
คนอร์ไก่,10,8,เครื่องปรุงอาหาร,98,8850144206453
คนอร์ รสกุ้ง-ปูอัด 32ก.,12,9,เครื่องปรุงอาหาร,2,8850144208822
มะลิ นมข้น รสชาไทย 120ก.,29,25,เครื่องปรุงอาหาร,120,8850151951452
มะลิ นมข้น รสนมเย็น 120ก.,29,25,เครื่องปรุงอาหาร,120,8850151951476
น้ำปลาแท้ ตราชู ตราชั่ง 55ซม.,9,7,เครื่องปรุงอาหาร,20,8850180050041
กะปิแท้ตราชูตราชั่ง90กรัม,17,16,เครื่องปรุงอาหาร,12,8850180060019
กะปิแท้ตราชูตราชั่ง185กรัม,35,27,เครื่องปรุงอาหาร,17,8850180060057
นกเหยี่ยว นมปรุงเเต่ง 360กรัม,28,23,เครื่องปรุงอาหาร,118,8850188170208
ซอสหอยนางรม350ก,30,24,เครื่องปรุงอาหาร,195,8850206117109
น้ำปลาแท้ตราหอยเป๋าฮื้อ,45,39,เครื่องปรุงอาหาร,3,8850225503167
เต้าหู้ยี้320ก,40,35,เครื่องปรุงอาหาร,50,8850248003026
เต้าฮู้ยี้แดง310ก,45,38,เครื่องปรุงอาหาร,20,8850248003040
อายิโนะโมะโต๊ะพลัส225กรัม,31,29,เครื่องปรุงอาหาร,97,8850250001492
อายิโนะโมะโต๊ะ39กรัม,5,3,เครื่องปรุงอาหาร,290,8850250001652
อายิโนะโมะโต๊ะ85กรัม,10,8,เครื่องปรุงอาหาร,213,8850250001669
อายิโนะโมะโต๊ะ250กรัม,26,24,เครื่องปรุงอาหาร,21,8850250007340
อายิโนะโมะโต๊ะ500กรัม,48,40,เครื่องปรุงอาหาร,26,8850250007357
อายิโนะโมะโต๊ะ1กิโลกรัม,90,80,เครื่องปรุงอาหาร,29,8850250007364
รสดี ต้มยำน้ำข้น 60 กรัม,21,15,เครื่องปรุงอาหาร,12,8850250009382
รสดี850ก,105,95,เครื่องปรุงอาหาร,94,8850250010968
ผงชูรส ถ้วยแดง250ก,28,25,เครื่องปรุงอาหาร,56,8850250011217
ผงชูรส ถ้วยแดง500ก,52,48,เครื่องปรุงอาหาร,78,8850250011248
อายิโนะโมะโต๊ะ1000ก,98,92,เครื่องปรุงอาหาร,10,8850250011293
รสดีไก่20ก,5,4,เครื่องปรุงอาหาร,198,8850250011712
อายิโนะโมะโต็ะพลัส210ก,34,29.25,เครื่องปรุงอาหาร,9,8850250013471
อายิโนะโมะโต๊ะ ตราถ้วยแดง 250กรัม,32,25,เครื่องปรุงอาหาร,-50,8850250014980
ยำยำขี้เมา30ซอง,172,165.5,เครื่องปรุงอาหาร,6,8850250170761
ยำยำต้มยำกุ้ง30ซอง,172,165.5,เครื่องปรุงอาหาร,6,8850250172994
แป้งทอดกรอบ,35,30,เครื่องปรุงอาหาร,0,8850340502151
น้ำจิ้มสุรีย์370มล,35,25,เครื่องปรุงอาหาร,50,8850344002008
น้ำจิ้มสุรีย์335ก,35,25,เครื่องปรุงอาหาร,50,8850344002077
เบคกิ้งโซดา300ก,35,30,เครื่องปรุงอาหาร,50,8850358371350
เเม่พลอย เเมงดา 3ซม.,20,15,เครื่องปรุงอาหาร,19,8850367300525
สุขุม สลัดครีม 110ซม.,27,22.5,เครื่องปรุงอาหาร,12,8850384130013
วุ้นเส้นเล็ก,6,5,เครื่องปรุงอาหาร,173,8850403200406
ครีโก้ ครีมคัสตาร์ด,5,4,เครื่องปรุงอาหาร,120,8850425000237
น้ำพริกเผาตราแม่ประนอม57กรัม,22,17.75,เครื่องปรุงอาหาร,96,8850487001104
พริกเผาแม่ประนอม114ก,37,32,เครื่องปรุงอาหาร,48,8850487001111
น้ำพริกเผาตราแม่ประนอม228กรัม,55,40,เครื่องปรุงอาหาร,19,8850487001128
น้ำจิ้มไก่ตราแม่ประนอม260กรัม,30,25,เครื่องปรุงอาหาร,12,8850487037141
น้ำจิ้มไก่ตราแม่ประนอม390กรัม,36,31,เครื่องปรุงอาหาร,18,8850487037158
ซอสพริกโรซา 300ก.,27,22,เครื่องปรุงอาหาร,3,8850511321215
ซอสพริกโรซ่า250กรัม,25,20,เครื่องปรุงอาหาร,20,8850511321703
ซอสมะเขือเทศโรซ่า500กรัม,45,40,เครื่องปรุงอาหาร,20,8850511321802
ซอสพริกโรซ่า500กรัม,45,40,เครื่องปรุงอาหาร,20,8850511321826
เต้าหู้ยี้250มล,40,35,เครื่องปรุงอาหาร,50,8850691000283
พาเลซ นมข้น 195ก.,25,19,เครื่องปรุงอาหาร,119,8850762050322
