ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
น้ำกระเทียม220ก,5,3.5,เครื่องปรุงต่างๆ,50,1798772136988
แม่เกษรกระปิแท้100ก,18,14.75,เครื่องปรุงต่างๆ,99,1427911611009
กระเทียมดอง,6,4,เครื่องปรุงต่างๆ,87,1798772136988
น้ำตาลกรวจ1กก,45,41,เครื่องปรุงต่างๆ,5,43251105
น้ำกระเทียมดอง1000มล,15,12,เครื่องปรุงต่างๆ,97,73070702
เย็นตาโฟ850มล,20,15,เครื่องปรุงต่างๆ,50,73070703
น้ำกระเทียม500มล,10,6.7,เครื่องปรุงต่างๆ,97,73071301
เย็นตาโฟ500มล,15,10,เครื่องปรุงต่างๆ,50,73071302
น้ำตาลทรายแดง1ก,25,20,เครื่องปรุงต่างๆ,100,76010202
พริกเเดง-สด,10,9,เครื่องปรุงต่างๆ,120,77882712
พริกเเดง-เเห้ง,10,8,เครื่องปรุงต่างๆ,119,77882715
พริกขี้หนู,10,8,เครื่องปรุงต่างๆ,120,77882722
พริกป่น,10,8,เครื่องปรุงต่างๆ,120,77882733
พริกไทยเม็ด ขาว-ดำ,5,4,เครื่องปรุงต่างๆ,120,77882744
พริกหยวก,10,8,เครื่องปรุงต่างๆ,120,77882755
มะนาว,10,8,เครื่องปรุงต่างๆ,120,77882766
ข้าวคั้ว,10,7,เครื่องปรุงต่างๆ,110,77882777
ยางวง(คละสี),5,4,เครื่องปรุงต่างๆ,120,77882785
"ถุงร้อน 5*9,6*9",5,3,เครื่องปรุงต่างๆ,120,77882787
หอมหัวใหญ่,10,8,เครื่องปรุงต่างๆ,100,77882788
ไข่เยียวม้า(เเพ็ึค),30,27,เครื่องปรุงต่างๆ,120,778827881
ไข่เค็ม(เเพ็ค),30,27,เครื่องปรุงต่างๆ,120,7788278823
แคบหมูติดมัน,20,18,เครื่องปรุงต่างๆ,120,778827883
มะขามเปียก,10,7,เครื่องปรุงต่างๆ,100,77882789
