ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
สวีทตี้พิ้งค์35มล,19,15,เครื่องสำอาง,20,8850233280012
วีไวด์25มล,25,20,เครื่องสำอาง,3,1872822070078
แว่นสายตา,39,32,เครื่องสำอาง,0,1984020259947
เรโซน่า25มล,39,34,เครื่องสำอาง,50,1984888191458
มีดโกนคละสี,25,20,เครื่องสำอาง,119,2021810600001
ลิปสติก คละสี,25,11,เครื่องสำอาง,24,29100730
ลิปสติกปลอกใสBAXI,25,20,เครื่องสำอาง,50,29100803
แมนชอง สีทาเล็บ 14ml.,20,15,เครื่องสำอาง,-1,3031416100001
น้ำยาล้างเล็บ,30,25,เครื่องสำอาง,48,3031418011001
โรออนสารส้ม,20,15,เครื่องสำอาง,50,3101700001
นิวเวีย เมนเเอนตี้,20,18,เครื่องสำอาง,18,4005808190041
นีเวีย(โรลออน)25มล.,45,40,เครื่องสำอาง,39,4005808305674
นีเวีย บอดี้ มิลค์ โลชั่น 250มล.,65,58,เครื่องสำอาง,120,4005808381579
นีเวีย25มล,49,40,เครื่องสำอาง,49,4005808643363
นิวเวีย ไวท์เทนนิ่ง สเปรย์,65,60,เครื่องสำอาง,1,4005808654017
นีเวีย(ครีม)8กรัม,12,10,เครื่องสำอาง,39,4005808758036
นีเวีย,49,38,เครื่องสำอาง,49,4005808828203
นีเวียโฟม,50,45,เครื่องสำอาง,0,4005808888351
โฟมนีเวีย100กรัม,115,100,เครื่องสำอาง,28,4005808888368
นีเวียโฟมคุมมัน,50,45,เครื่องสำอาง,0,4005808888689
นิเวีย ซากุระ 20ml.,59,52,เครื่องสำอาง,47,40063621
นีเวีย,53,45,เครื่องสำอาง,46,42131946
นีเวีย(โรลออน)25มล.,52,49,เครื่องสำอาง,39,42184706
นีเวีย(โรลออน)25มล.,52,49,เครื่องสำอาง,33,42217459
นีเวีย เพิร์ล เเอนด์ บิวตี้ (โรลออน)25มล.,35,29,เครื่องสำอาง,30,42288565
นิเวียโรลออน25มล,49,43,เครื่องสำอาง,50,42316374
โรออนคูลเพวเดอร์25มล,49,42,เครื่องสำอาง,6,42333265
นีเวีย ดีพ,52,43,เครื่องสำอาง,30,42397700
นีเวีย อัพออร่า7ม,29,22,เครื่องสำอาง,29,42397793
นีเวีย ฮอกไกโด โรส 20ml.,59,52,เครื่องสำอาง,48,42397908
นีเวียซันออยล์,25,20,เครื่องสำอาง,-1,42417507
นิเวีย ซั้น C&E 7มล.,29,22,เครื่องสำอาง,119,42418023
นีเวียไมโคร25มล,53,45,เครื่องสำอาง,30,42420224
นีเวีย,53,49,เครื่องสำอาง,-1,42439394
Lactacyd60มล,60,55,เครื่องสำอาง,50,4800136740018
แอ๊กซ์50มล,65,60,เครื่องสำอาง,50,4800888141101
เรโซนา(โรลออน)10กรัม,20,18,เครื่องสำอาง,40,4800888142399
เรโซนา(โรลออน)25มล.,35,30,เครื่องสำอาง,40,4800888142702
เรโซนาชาวเวอร์คลีน25มล.,35,30,เครื่องสำอาง,40,4800888151780
เรโซนา(โรลออน)10กรัม,20,18,เครื่องสำอาง,37,4800888151803
เรโซนาแอควานซ์25มล.,35,30,เครื่องสำอาง,39,4800888191205
เรโซนา(โรลออน)25มล.,35,30,เครื่องสำอาง,40,4800888191458
เรโซนาแอคทีฟ25มล.,35,30,เครื่องสำอาง,40,4800888192530
วาสลีน25มล,45,38,เครื่องสำอาง,50,4800888203984
จอห์นสัน เบบี้-ออยล์ 125มล.,75,72,เครื่องสำอาง,120,4801010501312
โอเลย์ ไวท์ (ครีม)10กรัม,12,9.1,เครื่องสำอาง,39,4902430142571
โอเลย์(ครีม)7.5กรัม,10,8,เครื่องสำอาง,40,4902430296823
โอเล่สูตรบางเบา,15,12,เครื่องสำอาง,50,4902430358453
โอเลย์(ครีม)7.5กรัม,15,13,เครื่องสำอาง,26,4902430408097
โอเลย์(ครีม)10กรัม,15,12,เครื่องสำอาง,30,4902430718196
โอเลยทซากุระ,10,8,เครื่องสำอาง,48,4902430749664
ครีมนวดเฮดโชว์เดอร์,55,50,เครื่องสำอาง,30,4902430753357
รีจอยส์450มล,120,105,เครื่องสำอาง,50,4902430772181
โอเล่,20,15,เครื่องสำอาง,49,4902430829465
โอเลย์ เนเจอริล ไวท์7.5ก,25,20,เครื่องสำอาง,28,4902430873901
โอเลย์7.5ก,25,20,เครื่องสำอาง,50,4902430890915
โอเล่,25,20,เครื่องสำอาง,20,4902430903653
แกตบี้  ฮาร์ด100ก,0,49,เครื่องสำอาง,2,4902806001396
แกตบี้ซอฟท์100ก,49,42,เครื่องสำอาง,2,4902806001433
ลาวีเลีย ฟรุ๊ตตี้ฟลอรัส 100มล.,45,39,เครื่องสำอาง,50,4902806012538
ลาวีเลีย ไวท์ฟลอรัส 100มล.,0,45,เครื่องสำอาง,50,4902806012576
ลาวีเลีย สวีทฟลอรัส 100มล.,45,39,เครื่องสำอาง,50,4902806014228
ลาวีเลีย จู๊ซซี้ ฟลอรัส 100มล.,45,39,เครื่องสำอาง,50,4902806015508
ยิลเลตตืบลู2,25,20,เครื่องสำอาง,-1,4987176092267
ลอรีอัล5ก,35,29,เครื่องสำอาง,50,6928820099308
ลิปสติกลายเสือ KR,25,19,เครื่องสำอาง,50,6938851057
