ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
เจเล่สตรอเบอรี่,25,20,เครื่องดื่ม,48,8850157101400
ไวตามิลค์-ทูโก ขวด300cc.,315,282,เครื่องดื่ม,120,18851028140037
ดัชมิวคิด รสส้ม,18,20,เครื่องดื่ม,10,3728717049200
ว้อนท์ ว้อนท์ UHT 125มล.,12,9.75,เครื่องดื่ม,8,686352806707
โอวันติล ออริจินอล 180มล.,12,10,เครื่องดื่ม,48,7612100053805
โอวัลติน ออริจินอล 180มล./4,45,38,เครื่องดื่ม,16,7612100053812
โอวัลติน UHT รสมอลต์ 225 มล.,12,10.3,เครื่องดื่ม,120,7612100053829
โอวัลติน UHT รสมอลต์ 225 มล.x6 ,70,62,เครื่องดื่ม,120,7612100053836
โอวันติล110มล.,7,5,เครื่องดื่ม,40,7612100061015
โอวัลตินแพคเล็ก,28,25,เครื่องดื่ม,20,7612100061022
ดัชมิวคิดรสผลไม้รวม,18,16,เครื่องดื่ม,48,8541717049224
M-150เทอร์ปีน150มล,12,10,เครื่องดื่ม,50,877213240666
เนสกาเเฟ โรบัสต้า เเบล็ค โรสต์ 180มล.,16,15,เครื่องดื่ม,11,8850011060973
นม น้ำผึ้ง,15,12,เครื่องดื่ม,21,8850011074123
นกคู่ เงาะในน้ำเชื่อม 540ก.,0,45,เครื่องดื่ม,120,8850035220162
โอวันติน Smart 165มล.,10,9,เครื่องดื่ม,111,8850086141652
โอวัลติล165มล,10,8,เครื่องดื่ม,38,8850086141669
โอวัลติน สมาร์ท มอลช็อก 170มล.,12,9,เครื่องดื่ม,12,8850086141805
โอวันติน UHT สมาร์ท รสมอลต์ 165*4,38,28,เครื่องดื่ม,115,8850086161650
โอวัลติน สมาร์ท มอลช็อก 170มล./4,45,38,เครื่องดื่ม,12,8850086161704
โอวันติน สมาร์ท 17ซอง,115,109,เครื่องดื่ม,119,8850086165412
ไวต้าซี ฮันนี่ เลม่อน 30มล.,35,28,เครื่องดื่ม,4,8850114012886
น้ำดื่มเพียวไลฟ์,8,5,เครื่องดื่ม,9,8850124003850
เพียวไลฟ์น้ำดื่ม 600ซีซี แพค 12,55,40,เครื่องดื่ม,120,8850124003874
นมตราหมีสีฟ้า,13,10,เครื่องดื่ม,19,8850124021991
ไมโล180มล.,45,40,เครื่องดื่ม,48,8850124025227
เนส ลาเต้ 180มล.,16,13,เครื่องดื่ม,22,8850124025258
ตราหมีรสจืด,15,10,เครื่องดื่ม,45,8850124038906
นมตราหมี โอเมก้า รสจืด 180มล.,55,43,เครื่องดื่ม,120,8850124038913
นมตราหมี รสน้ำผึ้ง 200มล.,15,10,เครื่องดื่ม,48,8850124038937
นมตราหมี โอเมก้า รสน้ำผึ้ง 180มล.,55,45,เครื่องดื่ม,118,8850124038944
นมตราหมี ผสมมอลต์สกัด 140มล.,15,10,เครื่องดื่ม,45,8850124041517
นมตราหมี,50,45,เครื่องดื่ม,46,8850124041524
คาร์เนชัน สมาร์ทโก รสจืด 180มล.,10,8,เครื่องดื่ม,117,8850125004009
คาร์เนชัน สมาร์ทโก รสจืด 180มล.X4,38,32,เครื่องดื่ม,120,8850125004016
ไมโลยูเอชที รสช็อคโกเเลตมอลต์ 180มล.,75,68,เครื่องดื่ม,121,8850125010178
เนสแบล็ค ไอซ์ 180มล.,16,15,เครื่องดื่ม,28,8850125081895
ไมโล น้ำตาลน้อย 180มล.,45,40,เครื่องดื่ม,47,8850125082786
นมตราหมีรสจืด,10,8,เครื่องดื่ม,90,8850126000819
นมตราหมี ยูเอชที รสจืด 180มล.,38,28,เครื่องดื่ม,115,8850126000826
เจเล่บิวตี้แอปเปิ้ล,10,8,เครื่องดื่ม,40,8850157100533
เจเล่บิวตี้เลม่อน,10,8,เครื่องดื่ม,40,8850157100700
เจเล่บลูเบอรี่แพค,25,20,เครื่องดื่ม,20,8850157101424
เจเล่ผลไม้รวม,25,20,เครื่องดื่ม,20,8850157101448
เจเล่ลิ้นจี้แพค,25,20,เครื่องดื่ม,48,8850157101646
เจเร่ แบล็คเคอร์เเรนท์,25,22,เครื่องดื่ม,10,8850157102186
เจเร่ ลิ่นจี่,25,22,เครื่องดื่ม,19,8850157102681
jellyรสส้ม,25,20,เครื่องดื่ม,48,8850157103626
jeleสตรอเบอรรี่,25,20,เครื่องดื่ม,48,8850157103657
เจเล่บิวตี้ลิ้นจี่,10,8,เครื่องดื่ม,40,8850157104449
น้ำเฉาก๊วยเมจิแพค,25,20,เครื่องดื่ม,40,8850157550130
น้ำมะพร้าวเมจิแพค,25,20,เครื่องดื่ม,48,8850157550161
เมจิฟาร์ม,10,8,เครื่องดื่ม,0,8850157550819
เฉาก๋วยเมจิก,10,8,เครื่องดื่ม,40,8850157551083
ยูซู สตรอเบอร์รี่ 315มล.,10,0,เครื่องดื่ม,24,8850157551397
ยุซุลิ้นจี่,10,8,เครื่องดื่ม,0,8850157551427
น้ำมะพร้าวเมจิก,10,8,เครื่องดื่ม,40,8850157552448
น้ำใบกันชา,15,12.5,เครื่องดื่ม,10,8850157553278
น้ำใบกันชา250มล,15,12.5,เครื่องดื่ม,8,8850157553452
โฟร์โมสต์ นมโคสดจืด 225มล.,13,11,เครื่องดื่ม,47,8850188250108
โฟร์โมสต์ รสหวาน 225มล.,13,11,เครื่องดื่ม,39,8850188250207
โฟร์โมส ช็อกโกแลต 225มล.,13,11,เครื่องดื่ม,44,8850188250306
โฟร์โมส225มล,12,10.5,เครื่องดื่ม,71,8850188251105
โฟโมสต์รสจืดแพค,75,67,เครื่องดื่ม,46,8850188253109
โฟร์โมสต์รสหวานใหญ่,65,60,เครื่องดื่ม,48,8850188253208
