ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
เบียร์ช้าง กระป๋อง,37,0,เครื่องดื่มแอลกอฮอ,100,3872993623019
สาโทซ่า เลม่อน-ไลม์ 320มล.,35,26.5,เครื่องดื่มแอลกอฮอ,3,8850486100563
สาโทซ่า โคล่า 320มล.,35,26.5,เครื่องดื่มแอลกอฮอ,3,8850486100570
ลีโอ 490 มล.,57,47,เครื่องดื่มแอลกอฮอ,7,8850999009674
SINGHA 490ซม.alc.5%.vol.,60,53,เครื่องดื่มแอลกอฮอ,-1,8850999014616
สิงห์แดงเลมอนโซดา 330มล.,17,14,เครื่องดื่มแอลกอฮอ,22,8850999019123
ลีโอ 620 มล.,60,50,เครื่องดื่มแอลกอฮอ,106,8850999141008
SangSom 1ลิตร ,440,421,เครื่องดื่มแอลกอฮอ,120,8851707000808
ช้าง 620 มล.,600,580,เครื่องดื่มแอลกอฮอ,20,8851993616059
เบียร์ช้าง Cold Brew 620ซม,55,46,เครื่องดื่มแอลกอฮอ,120,8851993716018
วัวแดงใหญ่รสหวาน,65,60,เครื่องดื่มแอลกอฮอ,43,8852537012160
วัวแดงเล็กรสหวาน,37,30,เครื่องดื่มแอลกอฮอ,48,8852537012566
นิยมไทย 40ดีกรี 330มล.,65,57,เครื่องดื่มแอลกอฮอ,7,8855155000304
นิยมไทย 40ดีกรี 625มล,120,107,เครื่องดื่มแอลกอฮอ,10,8855155000397
Blend 285 sig 1Litre,470,429,เครื่องดื่มแอลกอฮอ,120,8855155000779
ฟลูมูน ป๊อป พึ้งกี้ 275มล.,35,24.5,เครื่องดื่มแอลกอฮอ,6,8855796005546
ฟลูมูล ป๊อป ทไวไลท์ 275มล.,30,24.5,เครื่องดื่มแอลกอฮอ,6,8855796005744
คอมเบ-โซจู เฟรช 360ml.,75,62,เครื่องดื่มแอลกอฮอ,3,8855796034102
คอมเบ-โซจู เจลลี่องุ่น 360ml.,75,62,เครื่องดื่มแอลกอฮอ,3,8855796034409
คอมเบ-โซจู เมล่อน 360ml.,75,62,เครื่องดื่มแอลกอฮอ,2,8855796034676
Regency 350มล.,380,335,เครื่องดื่มแอลกอฮอ,3,8858820900022
รีเจนซี่500มล,580,550,เครื่องดื่มแอลกอฮอ,20,8858820900039
ตะวันเเดง สุราข้าวหอม 330มล.,65,58,เครื่องดื่มแอลกอฮอ,91,8859361300258
ตะวันเเดง สุราข้าวหอม 625มล.,120,98,เครื่องดื่มแอลกอฮอ,109,8859361300296
แทยัง360มล,75,63,เครื่องดื่มแอลกอฮอ,12,8859361300500
รีเจนซี่700มล,720,680,เครื่องดื่มแอลกอฮอ,9,999
ปากกา,5,4,เครื่องดื่มแอลกอฮอ,97,9999
