ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
ออรัลบี,15,10,แปลงฟัน,34,3014260786847
closeup,20,16,แปลงฟัน,8,4800888193896
โคลสอัพสลิม,45,40,แปลงฟัน,36,4800888193902
โคลอัพ สลิม เเคร์,99,86,แปลงฟัน,50,4800888545190
แปรงสีฟันเด็กคอลเกต,20,15,แปลงฟัน,99,4808888200033
แปรงสีฟันดาร์ลี่ ฟอร์ เฮอรื,20,15,แปลงฟัน,100,4891338019927
แปรงสีฟันออรัลบี,25,21,แปลงฟัน,0,4902430888325
Orel-B ซอฟ&สลิม ,85,76,แปลงฟัน,120,4987176031884
โคโดโม โปรเฟสชั้นเนล,30,24,แปลงฟัน,55,8850002000339
แปรงสีฟันเด็กโคโดโม,20,15,แปลงฟัน,100,8850002000353
สไปรัล ชาโคล,79,70,แปลงฟัน,20,8850002029231
โคโดโมะเด็กแพ็คคู่,55,50,แปลงฟัน,20,8850002031647
คอลเกต แปลงสีฟัน เอ็กซ์ตร้าคลีน 2เเถม1,50,41,แปลงฟัน,119,8850006330715
คลอเกตเอ็กตร้า,20,15,แปลงฟัน,14,8850006330937
colgate,20,16,แปลงฟัน,10,8850006331811
คอลเกต เดอลุกซ์ พลัส,15,10,แปลงฟัน,9,8850006332146
คอลเกต กัมคลีน,25,19,แปลงฟัน,55,8850006332498
Colgate slimsoft 0.01,65,58.5,แปลงฟัน,6,8850006951545
Fluocaril,15,10,แปลงฟัน,4,8850082000519
ไบโอเซฟตี้ เฟรช ชาโคล,45,38,แปลงฟัน,55,8850114312030
แปรงสีฟันไบโอเซฟตี้สมายล์,20,15,แปลงฟัน,100,8850114321025
เพอร์เฟคคลีนแพคคู่,32,20,แปลงฟัน,14,8850114350285
ไปโอเซฟตี้ สมาร์ท บิดเกลียว/3,45,37,แปลงฟัน,6,8850114350391
คาร์เนชัน นมสด 405ก.,30,26.75,แปลงฟัน,12,8850124018205
OralmedKid ประหยัด,30,24,แปลงฟัน,55,8850279639065
ดอกบัวคู่,25,20,แปลงฟัน,20,8850348800020
ฟูโอครรีล,55,50,แปลงฟัน,20,8850886034079
เซ็นโซดายน์ มัลติ เเคร์,65,78,แปลงฟัน,50,8851007101687
แปรงสีฟันเบอร์แมน,45,40,แปลงฟัน,100,8851145200075
Berman ออฟชั่น 1 2เเถม1,45,35,แปลงฟัน,120,8851145200136
แปรงสีฟันเบอร์แมน,20,15,แปลงฟัน,98,8851145300485
โคลสอัพ ,10,8,แปลงฟัน,49,8851932388054
เซ็นท์เเอนดรูว์,10,7,แปลงฟัน,50,8851938700171
แปรงสีฟัน,35,30,แปลงฟัน,0,8851938901943c
วิคตอรี่ สลิมม่า,25,21,แปลงฟัน,0,8851938902216
วิคตอรี่1แถม1,45,40,แปลงฟัน,30,8851938902902
victory ไวท์เทนนิ่ง ฟลอส,45,40,แปลงฟัน,10,8851938903879
แปรงสีฟัน,45,36,แปลงฟัน,0,8851938904531
วิคเตอรี่ เรียวม่า,55,48,แปลงฟัน,50,8851938905224
แปลงสีฟันวิคตอรี่วายแอนด์ลอง,45,32,แปลงฟัน,98,8851938905514
วีแคร์,20,15,แปลงฟัน,20,8851973051436
แปรงสีฟันวีแคร์,20,15,แปลงฟัน,100,8851973051450
วีแคร์,30,25,แปลงฟัน,8,8851973051467
วี-เเคร์ for kid,20,16,แปลงฟัน,49,8851973059166
แปลงสีฟันวีแคร์,20,15,แปลงฟัน,100,8851973060506
deesmild,20,16,แปลงฟัน,10,8857123698063
สกินเเล็บ บลู,25,21,แปลงฟัน,50,8858842057636
Impac พลัส 1 ด้าม,20,16,แปลงฟัน,120,8858970000375
อิมเเพค ซอฟ&สลิม/3,35,20.5,แปลงฟัน,10,8858970001150
oral-b คลาสสิก อัลตร้าคลีน ,20,16,แปลงฟัน,10,8888826016564
เเดนทิสเต้ พลัสไวท์,70,61,แปลงฟัน,50,9300807030820
เดนทิสเต้ พลัส ไนท์ทาม,70,64,แปลงฟัน,55,9300807041574
เดนทิสเต้ นาโนไวท์,70,61,แปลงฟัน,55,9300807046883
