ชื่อสินค้า,ราคาขาย,ต้นทุน,หมวดหมู่,สต๊อก,บาร์โค้ด
เภสัช คามิลล่า 100กรัม,20,18,แป้ง,40,8850233210217
แป้งเด็ก จอห์นสัน200ก,30,25,แป้ง,100,4801010107316
แว็กซ์ผม25กรัม,35,30,แป้ง,30,4902806015805
สไปค์กี้25กรัม,35,30,แป้ง,30,4902806015836
โคโดโม50กรัม,12,10,แป้ง,30,8850002006539
โคโดโมฟ้า 180กรัม,30,25,แป้ง,29,8850002006553
โคโดโมฟ้า 400กรัม,50,45,แป้ง,30,8850002006577
แป้งโคโดโม,12,10,แป้ง,19,8850002006591
โคโดโมชมพู180กรัม,30,25,แป้ง,30,8850002006614
โคโดโม400กรัม,50,45,แป้ง,29,8850002006638
โชกุบุซึ200มล,45,35,แป้ง,100,8850002013339
โคโดโมะส้ม,25,20,แป้ง,0,8850002013605
โชกุบุสซึโมโนกาตาริ100มล.,30,28,แป้ง,30,8850002014275
แป้งโคโดโม,12,10,แป้ง,30,8850002014589
ครีมอาบน้ำโชกุสบุสึ500มล,95,90,แป้ง,30,8850002024458
ครีมอาบน้ำโชกุสบุสึ500มล.,95,90,แป้ง,30,8850002024465
โคโดโม180ก,30,20,แป้ง,50,8850002029309
โคโดโมสวีทตี้คูล400,50,45,แป้ง,20,8850002029323
โคโดโม,45,40,แป้ง,20,8850002031166
เซ็นท์แอนดรูว์50ก,12,10,แป้ง,50,8850002033283
โชกุบุสซึ โพรเทคทีฟ ชาร์โคล 260ก.,50,44,แป้ง,3,8850002041554
โชกุบุสซึ สปอร์ต คูลลิ่ง 260ก.,50,44,แป้ง,3,8850002041578
อองฟองต์50กรัม,12,10,แป้ง,18,8850002850385
อองฟองต์ เด็กฟ้า 160กรัม,35,27,แป้ง,20,8850002850408
อองฟองต์ อ่อนโยน 350g.,55,45,แป้ง,50,8850002850415
ชุกุบุซึชมพู,30,25,แป้ง,100,8850002851641
ชุกุบุสซึเขียว,30,20,แป้ง,100,8850002851672
อองฟองต์ เด็กชมพู 160กรัม,35,27,แป้ง,18,8850002851955
อองฟองต์ ลดผดผื่น 350ก.,55,50,แป้ง,0,8850002851962
เซ็นท์แอนดรูว์50ก,12,10,แป้ง,50,8850002909144
แคร์คลาสสิค180กรัม,30,25.66,แป้ง,14,8850006572061
แคร์คลาสสิค60กรัม,13,10,แป้ง,30,8850006574089
แคร์คลาสสิค400กรัม,55,50,แป้ง,19,8850006577073
แคร์พิงค์ซอฟท์180กรัม,30,28,แป้ง,17,8850006582015
แป้งเด็กน่ารัก มะเขือเทศและเเครอต,0,0,แป้ง,0,88500065820158850094
แป้งแคร์60กรัม,13,12,แป้ง,17,8850006584019
แคร์พิงค์ซอฟท์400กรัม,55,50,แป้ง,16,8850006587010
แคร์ทริปเปิ้ลแอคชั่น400กรัม,55,50,แป้ง,20,8850006592199
แคร์เวรี่เบอร์รี่216กรัม,30,28,แป้ง,20,8850006592526
แป้งแคร์60กรัม,13,12,แป้ง,20,8850006592533
แคร์ซากุระ,13,10,แป้ง,-2,8850006593240
แคร์ซากุระ400กรัม,55,45,แป้ง,19,8850006593264
แป้งเด็กแคร์380ก,50,45,แป้ง,49,8850006593462
แป้งแคร์60ก,13,10,แป้ง,50,8850006593493
แป้งเย็นโพรเทคส์60กรัม,15,12,แป้ง,19,8850006600283
โพรเทคฟไอซ์ซี่คูล280กรัม,55,50,แป้ง,17,8850006601785
โปรเทค ไอช์คูล280กแพ็คคู่,79,69,แป้ง,20,8850006601792
แป้งเย็นโพรเทคส์60กรัม,15,13,แป้ง,20,8850006601839
โพรเทคส์(ครีมอาบน้ำ)70มล.,20,18,แป้ง,19,8850006602447
โพรเทคเฟรช,22,18,แป้ง,0,8850006602942
โปรเทค สดช์้น140ก,30,28,แป้ง,50,8850006603161
โพรเทคสบลอสซัม140กรัม,35,28,แป้ง,19,8850006603178
โพรเทคไอซ์ซี่คูล140กรัม,35,28,แป้ง,14,8850006603185
โพรเทคฟอร์เมนสปอร์ต280กรัม,55,50,แป้ง,19,8850006603802
โพรเทคส์ สปอร์ต 140ก,35,30,แป้ง,20,8850006603826
แป้งเย็นโพรเทคส์60กรัม,15,12,แป้ง,19,8850006604113
โพรเทคส์ดับเบิ้ล280กรัม,55,50,แป้ง,20,8850006604496
โปรเทค140ก,30,28,แป้ง,49,8850006604519
